"model","WAIC"
"Phylogenetic+Spatial: local+L1 speakers (linear)",3097.43
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",3100.37
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",3100.73
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",3100.82
"Phylogenetic+Spatial: local+Neighbours",3117.21
"Phylogenetic+Spatial: local+L2 proportion (linear)",3118.4
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",3119.83
"Phylogenetic+Spatial: local+Education",3120.94
"Phylogenetic+Spatial: local+Official",3121.43
