"model","WAIC"
"Official",3627
"Education",3627.77
"Neighbours",3631.27
"L1 speakers (nonlinear)+L2 proportion (nonlinear)",3633.81
"L1 speakers (nonlinear)",3635.84
"L2 proportion (nonlinear)",3636.26
"L1 speakers (linear)",3636.44
"L2 proportion (linear)",3636.57
"L1 speakers (linear)+L2 proportion (linear)",3638.24
