"model","WAIC"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",3205.37
"Phylogenetic+Spatial: local+L1 speakers (linear)",3214.27
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",3216.08
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",3217.42
"Phylogenetic+Spatial: local+Neighbours",3236.55
"Phylogenetic+Spatial: local+L2 proportion (linear)",3238.63
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",3238.79
"Phylogenetic+Spatial: local+Education",3241.52
"Phylogenetic+Spatial: local+Official",3242.53
