"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.0060...60",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0061...61",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0062...62",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0063...63",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0064...64",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0065...65",0.04,0.04,-0.04,0.04,0.13,0.04,"L1 speakers (linear)"
"fitted.Predictor.0066...66",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0067...67",0.04,0.04,-0.03,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0068...68",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0069...69",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0070...70",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0071...71",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0072...72",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0073...73",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0074...74",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0075...75",0.04,0.04,-0.03,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0076...76",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0077...77",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0078...78",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0079...79",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0080...80",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0081...81",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0082...82",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0083...83",0.04,0.04,-0.04,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0084...84",0.04,0.04,-0.03,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0085...85",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0086...86",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0087...87",0.04,0.03,-0.03,0.04,0.1,0.04,"L1 speakers (linear)"
"fitted.Predictor.0088...88",0.04,0.03,-0.03,0.04,0.1,0.04,"L1 speakers (linear)"
"fitted.Predictor.0089...89",0.04,0.04,-0.05,0.04,0.13,0.04,"L1 speakers (linear)"
"fitted.Predictor.0090...90",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0091...91",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0092...92",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0093...93",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0094...94",0.04,0.03,-0.03,0.04,0.1,0.04,"L1 speakers (linear)"
"fitted.Predictor.0095...95",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0096...96",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0097...97",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0098...98",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0099...99",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0100...100",0.05,0.07,-0.08,0.05,0.18,0.05,"L1 speakers (linear)"
"fitted.Predictor.0101...101",0.04,0.04,-0.03,0.04,0.1,0.04,"L1 speakers (linear)"
"fitted.Predictor.0102...102",0.05,0.06,-0.07,0.05,0.18,0.05,"L1 speakers (linear)"
"fitted.Predictor.0103...103",0.04,0.04,-0.04,0.04,0.13,0.04,"L1 speakers (linear)"
"fitted.Predictor.0104...104",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0105...105",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0106...106",0.04,0.04,-0.04,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0107...107",0.04,0.04,-0.04,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0108...108",0.04,0.04,-0.04,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0109...109",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0110...110",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0111...111",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0112...112",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0113...113",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0114...114",0.04,0.04,-0.04,0.04,0.12,0.04,"L1 speakers (linear)"
"fitted.Predictor.0115...115",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0116...116",0.04,0.04,-0.04,0.04,0.12,0.04,"L1 speakers (linear)"
"fitted.Predictor.0117...117",0.04,0.04,-0.03,0.04,0.1,0.04,"L1 speakers (linear)"
"fitted.Predictor.0118...118",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0119...119",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0120...120",0.04,0.04,-0.04,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0121...121",0.04,0.04,-0.03,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0122...122",0.04,0.04,-0.03,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0123...123",0.04,0.03,-0.03,0.04,0.1,0.04,"L1 speakers (linear)"
"fitted.Predictor.0124...124",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0125...125",0.04,0.04,-0.04,0.04,0.12,0.04,"L1 speakers (linear)"
"fitted.Predictor.0126...126",0.04,0.03,-0.03,0.04,0.1,0.04,"L1 speakers (linear)"
"fitted.Predictor.0127...127",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0128...128",0.04,0.04,-0.04,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0129...129",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0130...130",0.04,0.03,-0.03,0.04,0.1,0.04,"L1 speakers (linear)"
"fitted.Predictor.0131...131",0.05,0.06,-0.07,0.05,0.17,0.05,"L1 speakers (linear)"
"fitted.Predictor.0132...132",0.04,0.04,-0.03,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0133...133",0.04,0.04,-0.03,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0134...134",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0135...135",0.05,0.06,-0.07,0.05,0.17,0.05,"L1 speakers (linear)"
"fitted.Predictor.0136...136",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0137...137",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0138...138",0.04,0.04,-0.04,0.04,0.12,0.04,"L1 speakers (linear)"
"fitted.Predictor.0139...139",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0140...140",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0141...141",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0142...142",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0143...143",0.04,0.04,-0.04,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0144...144",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0145...145",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0146...146",0.04,0.04,-0.04,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0147...147",0.02,0.03,-0.03,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0148...148",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0149...149",0.02,0.04,-0.06,0.02,0.09,0.02,"L1 speakers (linear)"
"fitted.Predictor.0150...150",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0151...151",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0152...152",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0153...153",0.02,0.03,-0.05,0.02,0.09,0.02,"L1 speakers (linear)"
"fitted.Predictor.0154...154",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0155...155",0.04,0.04,-0.04,0.04,0.12,0.04,"L1 speakers (linear)"
"fitted.Predictor.0156...156",0.02,0.03,-0.03,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0157...157",0.04,0.04,-0.03,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0158...158",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0159...159",0.04,0.03,-0.03,0.04,0.1,0.04,"L1 speakers (linear)"
"fitted.Predictor.0160...160",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0161...161",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0162...162",0.04,0.04,-0.03,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0163...163",0.02,0.04,-0.05,0.02,0.09,0.02,"L1 speakers (linear)"
"fitted.Predictor.0164...164",0.02,0.04,-0.06,0.02,0.09,0.02,"L1 speakers (linear)"
"fitted.Predictor.0165...165",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0166...166",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0167...167",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0168...168",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0169...169",0.02,0.03,-0.03,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0170...170",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0171...171",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0172...172",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0173...173",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0174...174",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0175...175",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0176...176",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0177...177",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0178...178",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0179...179",0.04,0.04,-0.04,0.04,0.12,0.04,"L1 speakers (linear)"
"fitted.Predictor.0180...180",0.04,0.03,-0.03,0.04,0.1,0.04,"L1 speakers (linear)"
"fitted.Predictor.0181...181",0.04,0.03,-0.03,0.04,0.1,0.04,"L1 speakers (linear)"
"fitted.Predictor.0182...182",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0183...183",0.02,0.03,-0.03,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0184...184",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0185...185",0.02,0.03,-0.05,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0186...186",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
