"model","WAIC"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1796.18
"Phylogenetic+Spatial: local+L1 speakers (linear)",1797.04
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1799.06
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1799.27
"Phylogenetic+Spatial: local+Neighbours",1823.74
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1828.36
"Phylogenetic+Spatial: local+Official",1828.9
"Phylogenetic+Spatial: local+Education",1829.73
"Phylogenetic+Spatial: local+L2 proportion (linear)",1831.95
