"model","WAIC"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1805.37
"Phylogenetic+Spatial: local+L1 speakers (linear)",1806.23
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1806.96
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1808.47
"Phylogenetic+Spatial: local+Neighbours",1832.51
"Phylogenetic+Spatial: local+Official",1837.48
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1837.66
"Phylogenetic+Spatial: local+Education",1838.34
"Phylogenetic+Spatial: local+L2 proportion (linear)",1838.68
