"model","WAIC"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1813.7
"Phylogenetic+Spatial: local+L1 speakers (linear)",1815.18
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1817.18
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1817.52
"Phylogenetic+Spatial: local+Neighbours",1841.27
"Phylogenetic+Spatial: local+Official",1845.86
"Phylogenetic+Spatial: local+Education",1846.75
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1847.1
"Phylogenetic+Spatial: local+L2 proportion (linear)",1847.22
