Language_ID	AUTOTYP_area	Longitude	Latitude
awap1236	Interior New Guinea	145.714	-6.65534
awar1248	N Coast New Guinea	146.372	-6.16986
awar1249	N Coast New Guinea	144.836	-4.13554
awet1244	NE South America	-53.391944	-12.381944
awji1241	N Africa	21.1819	29.2341
awtu1239	N Coast New Guinea	141.928	-3.53129
axam1237	Oceania	167.707	-16.4838
axiy1235	Southeast Asia	103.713	24.6009
ayac1239	Andean	-74.32246	-13.84714
ayiw1239	Oceania	166.328715	-10.282595
azha1235	Southeast Asia	104.15	23.9
baba1264	African Savannah	10.5216	6.11222
baba1266	African Savannah	10.2869	5.97863
baba1267	Southeast Asia	103.076	1.75414
baba1268	Oceania	157.149	-7.22281
babi1235	Alaska-Oregon	-126.41	55.0997
bada1257	Indic	76.5974	11.3094
bafa1247	African Savannah	9.522	4.53307
bafi1243	African Savannah	11.0982	4.72603
bafu1246	African Savannah	10.1194	6.14153
baga1272	African Savannah	-14.4756	10.4793
baga1273	African Savannah	-13.947	10.1286
bagi1246	African Savannah	14.769495	11.52392
bagv1239	Greater Mesopotamia	46.1041	42.3966
baha1259	Greater Mesopotamia	50.580811	26.223615
baha1260	E North America	-77.390587	25.032149
bahi1252	Indic	86.3949	27.3323
bahn1262	Southeast Asia	108.471	14.0476
baik1238	Oceania	124.256	-9.32991
baim1244	Southeast Asia	103.952	33.1001
baka1272	African Savannah	13.7804	2.16013
baka1274	African Savannah	29.59	4.65943
baki1244	Oceania	168.165	-16.7096
bala1311	Oceania	121.686646	6.011614
bala1315	Oceania	123.289	-0.86809
bala1316	Oceania	164.2	-20.25
bali1278	Southeast Asia	115.075	-8.35714
balo1261	S Africa	18.1266	0.93777
balu1257	N Coast New Guinea	147.282	-2.5604
bamb1262	Greater Abyssinia	34.6522	9.82554
bamb1266	African Savannah	10.2233	6.10821
bamb1269	African Savannah	-7.65	12.9
bamb1270	Oceania	119.201	-3.02759
bamu1253	African Savannah	10.8477	5.49017
bamw1238	S Africa	19.1644	2.16773
bana1288	Oceania	121.05	17.5643
band1340	African Savannah	-16.4245	12.5258
band1344	African Savannah	20.9827	6.21563
bang1354	S Africa	17.227	-0.87437
bang1363	African Savannah	-3.77092	14.8116
bang1369	Indic	93.15	27.95
bani1255	NE South America	-67.7704	2.17859
bank1256	African Savannah	9.6403	4.3702
bann1247	Oceania	155.128	-6.23061
bant1281	Indic	87.04738	27.12147
bant1288	Oceania	122.034	12.5194
bara1357	Indic	85.0584	28.3768
bara1361	S Africa	26.861	3.34642
bara1369	Southeast Asia	45.5937	-23.9716
bara1370	Southeast Asia	114.482	3.51211
bara1380	NE South America	-70.808	0.02193
bard1255	N Australia	122.906	-16.6274
bare1276	NE South America	-66.828	1.91649
bare1279	African Savannah	17.911727	10.970124
barg1252	N Coast New Guinea	145.756	-4.8723
bari1286	N Coast New Guinea	148.666	-5.5087
baro1253	N Coast New Guinea	152.193	-3.47672
basa1282	African Savannah	7.06183	8.03159
basa1287	Oceania	121.857	25.0046
bash1264	Inner Asia	56.55937	53.59671
basq1248	Europe	-1.31622	43.2787
bata1285	African Savannah	9.51011	1.397041
bata1289	Southeast Asia	99.1761	2.35498
bata1293	Southeast Asia	98.2517	2.12787
bats1242	Greater Mesopotamia	45.344	42.1806
baur1253	NE South America	-63.68	-13.61
bauz1241	N Coast New Guinea	137.629	-2.44717
bawm1236	Indic	92.92553	22.4405233333
bayb1234	Oceania	124.8086	10.6956
bayo1255	African Savannah	-16.3947	12.6881
bebe1248	African Savannah	12.824	4.78874
beel1236	African Savannah	10.4204	10.1609
beem1239	S Africa	14.1	-3.95895
beja1238	N Africa	36.6666	17.2436
beka1241	Southeast Asia	109.576	1.3307
bekw1241	African Savannah	8.86489	6.73737
bekw1242	S Africa	14.6527	1.71801
bela1254	Inner Asia	25.6038	53.2307
bela1256	African Savannah	27.8232	6.6503
bela1260	Southeast Asia	114.933	4.96207
belh1239	Indic	87.2783	26.9972
beli1257	African Savannah	29.7954	6.40428
beli1260	Mesoamerica	-88.6281	17.3941
bell1243	Alaska-Oregon	-126.689	52.3448
belu1239	S Africa	28.933744	1.314698
bemb1257	S Africa	29.2993	-10.6122
bena1262	S Africa	35.0364	-9.26671
benc1235	Greater Abyssinia	35.7673	7.04682
beng1282	African Savannah	9.600739	1.075766
bent1238	African Savannah	-2.94	14.78
bera1262	Southeast Asia	117.934	1.6687
berb1259	NE South America	-58.0002	5.3829
bert1248	African Savannah	34.7042	10.6474
beta1252	Southeast Asia	107.022	-6.21174
beto1236	NE South America	-71.420238	7.223906
bezh1248	Greater Mesopotamia	46.0332	42.1206
bhoj1244	Indic	84.817115	26.458455
biaf1240	African Savannah	-15.1347	11.467
biak1248	N Coast New Guinea	135.879	-0.9523
bian1252	S New Guinea	146.765	-7.33882
biao1253	Southeast Asia	113.391	23.656
biao1254	Southeast Asia	111.344	25.5309
biao1256	Southeast Asia	113.469	24.6451
biat1246	Southeast Asia	110.254	1.17596
bidy1244	African Savannah	-16.1497	11.1097
bier1244	Oceania	168.154	-16.6663
bign1238	Oceania	167.239	-16.0903
biha1246	Southeast Asia	108.016667	12.483333
bila1255	S Africa	28.7626	1.16839
bilb1241	N Coast New Guinea	145.764	-5.26505
bili1260	Greater Abyssinia	38.3917	15.7833
bilu1245	Oceania	156.663	-7.92388
bimi1240	Interior New Guinea	142.04	-5.38732
bina1277	S New Guinea	147.884	-8.37433
bine1240	S New Guinea	142.893	-9.08879
bini1246	African Savannah	5.70426	6.40701
binu1244	Oceania	124.892	8.15933
bira1253	Greater Abyssinia	37.025	5.29807
biri1256	S Australia	146.67	-20.1494
birr1240	African Savannah	24.6	5.33
bisl1239	Oceania	166.89	-15.4
bisu1244	Southeast Asia	99.9862	20.8542
bitt1240	Southeast Asia	101.916	21.3474
biwa1243	N Coast New Guinea	143.873	-4.39429
blab1237	Oceania	159.419	-8.15058
blan1242	Southeast Asia	99.7405	22.0092
bobo1255	Oceania	121.922	-0.36759
bodo1267	Indic	82.771	18.3857
bodo1269	Indic	92	26.1
bodo1272	African Savannah	26	6
boht1238	Greater Mesopotamia	45.084	41.459
boka1249	Indic	94.066429	28.61433
bola1250	N Coast New Guinea	150.095	-5.55792
bolg1251	African Savannah	18.8076	10.9025
boli1256	Oceania	119.853	16.3071
bolo1262	S Africa	18.4555	0.83463
boly1239	Southeast Asia	104.955	24.7013
bomb1262	S Africa	18.7841	2.40195
bomk1234	African Savannah	-11.59696	9.27518
bona1250	Inner Asia	102.01778	35.515
bond1245	Indic	83.8141	19.1512
bond1247	S Africa	38.5079	-5.10749
bong1284	S Africa	16.6079	0.37063
bong1285	African Savannah	27.9918	7.4145
bong1289	Southeast Asia	117.174	7.29249
bora1263	NE South America	-72.257066	-2.000259
bora1271	S Africa	37.882	1.05676
bord1248	Andean	-77.1664	7.92993
bori1243	Indic	94.3538	27.62812
boro1277	Greater Abyssinia	35.345	10.6596
boro1282	NE South America	-55.2004	-16.6029
boru1252	Mesoamerica	-83.2124	8.88093
boto1242	Oceania	120.164	15.2315
boun1243	African Savannah	-2.74627	8.46011
boun1245	Interior New Guinea	144.086	-5.8626
bouy1240	Southeast Asia	106.187	24.8484
bowa1234	N Coast New Guinea	147.14267	-2.03429
brah1256	Greater Mesopotamia	66.56	29.04
bret1244	Europe	-3.78934	48.2452
brib1243	Mesoamerica	-83.0539	9.39794
bube1242	African Savannah	8.68929	3.53638
bubi1250	S Africa	12.32251	-1.16762
budu1248	Greater Mesopotamia	48.3353	41.2272
budu1265	African Savannah	14.4492	13.0692
budz1238	S Africa	22.6107	2.19951
buga1247	Southeast Asia	104.963	23.6124
buga1250	N Coast New Guinea	147.32	-6.67519
bugh1239	Oceania	159.802	-8.47948
bugi1244	Oceania	119.977	-4.47
bugl1243	Mesoamerica	-81.25648	8.57695
bugu1246	Indic	92.4713002	27.1929556
buhu1237	S New Guinea	150.18	-10.5074
bujh1238	Indic	84.5068	28.0084
buka1257	Southeast Asia	110.657	0.96817
buki1249	N Coast New Guinea	143.111	-3.47169
buku1249	S Africa	34.7719	0.68043
bula1255	S Australia	138.1566659	-21.02656922
bull1247	African Savannah	-13.16	9
bulo1242	Southeast Asia	106.798	11.9777
bulu1251	African Savannah	11.6365	3.16141
bumt1240		90.8037	27.6494
buna1276	S New Guinea	151.066	-10.0761
buna1278	Oceania	125.216	-9.13618
bund1253	Indic	78.9542	24.8982
bunu1267	Oceania	121.025	23.4116
buol1237	Oceania	121.519	0.97727
bura1267	N Australia	134.365	-12.3061
bura1292	African Savannah	12.3007	10.4822
bure1242	African Savannah	10.4554	10.4603
burj1242	Greater Abyssinia	38.4646	4.44624
burm1264	N Coast New Guinea	138.203	-2.47582
buru1296	Indic	74.8236	36.2161
buru1303	Oceania	126.632	-3.43957
buru1320	S Africa	35.963	-5.21369
busa1253	African Savannah	4.39929	9.91074
bush1247	S Africa	21.4556	-4.69463
buta1242	N Coast New Guinea	152.245674	-4.471696
buwa1243	African Savannah	13.8838	10.6151
bwai1242	S New Guinea	150.297	-9.51158
bwat1240	Oceania	165.076	-21.3777
byan1241	Indic	80.63653	29.92002
caac1237	Oceania	164.578	-20.4114
cabe1245	Mesoamerica	-83.4102	9.67031
cacu1241	NE South America	-69.5659	0.88778
cahu1264	Mesoamerica	-116.691	33.5324
cakf1236	African Savannah	9.16071	9.00924
cald1236	Andean	-78.2587	-0.36205
caml1239	Indic	86.7612	27.3371
camp1261	Europe	9.03935	39.0566
cams1241	Andean	-76.8931	1.14537
cane1242	NE South America	-45.1299	-6.10712
cani1243	NE South America	-64.944455	-14.3058
caom1238	Southeast Asia	109.547	26.2236
capa1241	NE South America	-74.3813	-6.63254
cari1276	NE South America	-54.6305	5.62695
carn1240	Southeast Asia	92.7671	9.18853
caro1242	Oceania	145.765	15.205
cash1251	NE South America	-75.4206	-8.70232
casi1235	Oceania	121.878	16.2176
cata1286	E North America	-80.8857	34.9685
cavi1250	NE South America	-66.6277	-13.3544
cayu1262	NE South America	-65.4822	-13.2482
cebu1242	Oceania	124.367	8.38799
cemu1238	Oceania	165.13	-20.8489
