Language_ID	L1_log10_st	Vehicularity	Education	Official	neighboring_languages_st	ISO_639
nden1250	NA	NA	0	0	0.33177684057407125	ndd
nort2795	1.4408860316832452	1	1	1	1.4628895272311966	nde
nden1248	0.5121758187305773	0	0	0	0.10555430324264616	ndg
ndal1241	NA	NA	0	0	0.10555430324264616	ndh
samb1305	0.4676526739544219	0	0	0	2.8202247512197474	ndi
ndam1239	0.8103594477665109	0	0	0	0.10555430324264616	ndj
ndak1241	NA	NA	0	0	0.7842219152369214	ndk
ndol1238	NA	NA	0	0	0.10555430324264616	ndl
ndam1251	-0.20384261938486453	0	0	0	0.5579993779054964	ndm
ngun1270	NA	NA	0	0	-0.346890771420204	ndn
ndon1254	NA	NA	1	1	-0.12066823408877893	ndo
ndoo1242	NA	NA	0	0	1.0104444525683465	ndp
ndom1244	NA	NA	0	0	-0.5731133087516291	ndq
ndoo1241	NA	NA	0	0	0.5579993779054964	ndr
nort2627	NA	NA	0	0	-0.7993358460830542	nds
ndun1249	-0.48827759468432175	0	0	0	-0.346890771420204	ndt
dugu1248	NA	NA	0	0	-0.12066823408877893	ndu
ndut1239	NA	NA	0	0	-0.7993358460830542	ndv
ndob1238	-0.06969516474655182	0	0	0	0.10555430324264616	ndw
ndug1245	NA	NA	0	0	1.0104444525683465	ndx
luto1241	NA	NA	0	0	1.0104444525683465	ndy
ndog1248	0.3914486493896807	0	0	0	-0.12066823408877893	ndz
tour1242	NA	NA	0	0	-0.12066823408877893	neb
nede1245	NA	NA	0	0	-0.5731133087516291	nec
kuma1276	-0.7352938816598645	0	0	0	-0.346890771420204	nee
negi1245	-1.532491592828907	0	0	0	-0.7993358460830542	neg
nyen1254	NA	NA	0	0	0.10555430324264616	neh
neko1240	NA	NA	0	0	-0.12066823408877893	nej
neku1237	NA	NA	0	0	-0.5731133087516291	nek
nemi1240	NA	NA	0	0	-0.12066823408877893	nem
neng1238	-0.116368800056925	0	0	0	-1.0255583834144792	nen
nort2939	NA	NA	0	0	0.33177684057407125	neq
yaha1248	NA	NA	0	0	-0.346890771420204	ner
bhot1235	NA	NA	1	0	-0.346890771420204	nes
nete1240	NA	NA	0	0	-0.7993358460830542	net
nyah1249	-0.10695921646945523	0	0	0	-0.5731133087516291	nev
newa1246	1.25102957754895	0	0	0	-0.5731133087516291	new
neme1244	NA	NA	0	0	0.33177684057407125	nex
neyo1238	NA	NA	0	0	-0.346890771420204	ney
nezp1238	-1.443870075827582	0	0	0	-0.7993358460830542	nez
dhao1237	-0.2819491338825217	0	0	0	-1.0255583834144792	nfa
ahwa1235	NA	NA	0	0	0.33177684057407125	nfd
ayiw1239	-0.1274998215955222	0	0	0	-1.0255583834144792	nfl
nafa1258	NA	NA	0	0	-0.346890771420204	nfr
mfum1238	NA	NA	0	0	1.0104444525683465	nfu
ngba1285	1.2996286252362683	0	0	0	2.8202247512197474	nga
nort2774	0.8828166691341734	0	0	0	2.8202247512197474	ngb
ngom1268	0.7307166125683482	0	0	0	5.082450124533998	ngc
ngan1304	NA	NA	0	0	-0.12066823408877893	ngd
ngem1255	NA	NA	0	0	1.4628895272311966	nge
