Language_ID,used_in_reanalysis,ISO_639
brib1243,yes,bzd
budu1248,yes,bdk
budz1238,yes,bja
buga1247,yes,bbh
buga1250,yes,buk
bugl1243,yes,sab
bull1247,yes,buy
bulo1242,yes,sti
bumt1240,yes,kjz
bund1253,yes,bns
bura1292,yes,bwr
buru1296,yes,bsk
buru1320,yes,bds
busa1253,yes,bqp
bush1247,yes,buf
buwa1243,yes,bhs
bwai1242,yes,bwd
bwat1240,yes,bwa
caac1237,yes,msq
cacu1241,yes,cbv
cahu1264,yes,chl
cakf1236,yes,cky
cald1236,yes,qud
camp1261,yes,sro
cane1242,yes,ram
caom1238,yes,cov
capa1241,yes,kaq
carn1240,yes,caq
caro1242,yes,cal
cash1251,yes,cbr
cavi1250,yes,cav
cemu1238,yes,cam
cent1990,yes,ncb
cent1992,yes,cmo
cent2004,yes,bca
cent2084,yes,agt
cent2087,yes,bcl
cent2090,yes,tgt
cent2126,yes,ryu
cent2127,yes,esu
cent2131,yes,tar
cent2140,yes,csm
cent2142,yes,ayr
cent2150,yes,tuf
chac1251,yes,cao
chak1270,yes,ckh
chak1271,yes,cli
chal1275,yes,cld
cham1309,yes,cji
cham1312,yes,cha
chan1313,yes,nbc
chec1245,yes,che
chek1238,yes,mrn
chen1255,yes,cde
cher1273,yes,chr
chic1270,yes,cic
chil1280,yes,clc
chim1302,yes,qug
chip1241,yes,ciw
chip1261,yes,chp
chiq1248,yes,cax
chir1283,yes,cdf
choc1276,yes,cho
chon1284,yes,cog
chot1239,yes,nct
chra1242,yes,crw
chug1252,yes,cvg
chuj1250,yes,cac
chuk1273,yes,ckt
chuw1238,yes,chw
cici1237,yes,awc
coat1243,yes,zps
coca1259,yes,cod
coeu1236,yes,crd
coma1245,yes,com
como1259,yes,coo
copa1237,yes,trc
cors1241,yes,cos
cree1270,yes,mus
crim1257,yes,crh
cros1244,yes,mfn
crow1244,yes,cro
cube1242,yes,cub
culi1244,yes,cul
cusc1236,yes,quz
daai1236,yes,dao
dadi1250,yes,mps
dagb1246,yes,dag
dagi1241,yes,dec
daka1243,yes,bpa
damp1237,yes,dms
dana1252,yes,dnu
dand1238,yes,daq
dani1285,yes,dan
darm1243,yes,drd
daur1238,yes,dta
daza1242,yes,dzg
dege1246,yes,deg
dehu1237,yes,dhv
dera1248,yes,kna
desa1247,yes,des
dhao1237,yes,nfa
dido1241,yes,ddo
diga1241,yes,mhu
digo1243,yes,dig
dima1251,yes,dis
djam1255,yes,djd
djin1251,yes,jig
domm1246,yes,doa
dong1285,yes,sce
doro1266,yes,kqc
drun1238,yes,duu
dumb1241,yes,duf
dupa1235,yes,duo
dzao1238,yes,bpn
dzon1239,yes,dzo
east2328,yes,mhr
east2342,yes,eky
east2443,yes,omb
east2447,yes,fud
east2485,yes,pez
east2516,yes,kjs
east2555,yes,gui
east2556,yes,otm
eipo1242,yes,eip
ekar1243,yes,ekg
elna1235,yes,crn
emae1237,yes,mmw
emai1241,yes,ema
embe1260,yes,cto
embe1262,yes,cmi
enuu1235,yes,enu
epen1239,yes,sja
ersu1241,yes,ers
erzy1239,yes,myv
esee1248,yes,ese
esim1238,yes,ags
esto1258,yes,ekk
even1259,yes,evn
even1260,yes,eve
fare1241,yes,gur
faro1244,yes,fao
fonn1241,yes,fon
fore1265,yes,enf
fran1266,yes,zos
fuln1247,yes,fun
furr1244,yes,fvr
futu1245,yes,fut
fuyu1242,yes,fuy
gade1242,yes,ged
gaga1249,yes,gag
gahr1239,yes,bfu
gali1258,yes,glg
gali1262,yes,car
galo1242,yes,adl
gang1266,yes,gnb
gant1244,yes,gao
gapa1238,yes,pwg
garo1247,yes,grt
gata1239,yes,gaq
gayo1244,yes,gay
geba1237,yes,kvq
geda1237,yes,gdd
gela1263,yes,nlg
ghad1239,yes,gha
ghan1242,yes,ghn
ghar1239,yes,gri
gheg1238,yes,aln
ghod1238,yes,gdo
ghom1257,yes,gho
gilb1244,yes,gil
gily1242,yes,niv
gira1247,yes,bbr
glav1244,yes,glw
gogo1265,yes,ggw
gola1255,yes,gol
guah1255,yes,guh
guan1266,yes,jiq
guan1269,yes,gvc
gude1246,yes,gde
guer1243,yes,amu
guhu1244,yes,ghs
guiq1238,yes,gqi
guma1254,yes,gvs
gunw1252,yes,gup
guru1271,yes,grd
gyel1242,yes,gyi
haaa1252,yes,haq
hadz1240,yes,hts
halh1238,yes,khk
hali1244,yes,hla
halk1245,yes,hur
hang1263,yes,wos
hani1248,yes,hni
hano1246,yes,lml
haru1245,yes,tmd
hava1248,yes,yuf
hawa1245,yes,haw
here1253,yes,her
hida1246,yes,hid
high1276,yes,poi
hixk1239,yes,hix
hoaa1235,yes,huc
hoav1238,yes,hoa
hone1235,yes,juh
honi1244,yes,how
hooo1248,yes,hoc
hopi1249,yes,hop
horp1239,yes,ero
hote1245,yes,hot
huaa1248,yes,nmn
hual1241,yes,qub
huam1247,yes,hub
huar1255,yes,var
huas1242,yes,hus
huba1236,yes,hbb
huic1243,yes,hch
hula1239,yes,hul
humb1243,yes,hmb
hung1274,yes,hun
hunz1247,yes,huz
hupd1244,yes,jup
huuu1240,yes,huo
iaai1238,yes,iai
iatm1242,yes,ian
ibal1244,yes,ibl
iban1267,yes,ibg
ibat1238,yes,ivb
icel1247,yes,isl
idii1243,yes,idi
idum1241,yes,clk
idun1242,yes,viv
ikkk1242,yes,ikx
iliu1237,yes,ilu
imba1240,yes,qvi
ingr1248,yes,izh
ingu1240,yes,inh
irar1238,yes,irh
irul1243,yes,iru
isco1239,yes,isc
isin1239,yes,inn
isir1237,yes,srl
isna1241,yes,isd
isth1240,yes,nhk
iton1250,yes,ito
itza1241,yes,itz
iumi1238,yes,ium
ivat1242,yes,ivv
iyoo1238,yes,nca
jalk1242,yes,bxl
jama1261,yes,jaa
jams1239,yes,djm
jaqa1244,yes,jqr
jara1266,yes,jra
jeha1242,yes,jhi
jenn1240,yes,xuj
jina1244,yes,jia
juan1238,yes,jun
jurm1239,yes,bex
kaba1278,yes,kbd
kaba1281,yes,ksp
kach1280,yes,kac
kach1284,yes,kcx
kada1242,yes,kej
kaga1256,yes,cgc
kagu1239,yes,kki
kaik1246,yes,kzq
kala1384,yes,kck
kala1388,yes,kqe
kala1399,yes,kal
kali1308,yes,fla
kalm1243,yes,xal
kamb1299,yes,xbr
kamm1249,yes,kdx
kamu1260,yes,xla
kana1286,yes,xnb
kana1291,yes,knm
kani1286,yes,kmu
kank1243,yes,kne
kaqc1270,yes,cak
kara1482,yes,kah
kara1486,yes,leu
kara1487,yes,kyj
kara1500,yes,kpj
karb1241,yes,mjw
kare1335,yes,krl
kare1338,yes,kbn
kari1311,yes,ktn
karo1304,yes,kyh
kash1277,yes,kas
katb1237,yes,tmb
kats1235,yes,kaf
kava1241,yes,ckv
kaya1315,yes,pdu
keap1239,yes,khz
keda1252,yes,ksx
keig1242,yes,kec
kele1258,yes,sbc
kele1259,yes,ify
kemb1249,yes,xem
kens1248,yes,kns
keoo1238,yes,xxk
kera1255,yes,ker
kesa1244,yes,xes
kett1243,yes,ket
kgal1244,yes,xkv
khak1248,yes,kjh
kham1282,yes,khg
khan1274,yes,kjm
khan1278,yes,ogo
khar1288,yes,kfw
khas1269,yes,kha
khez1235,yes,nkh
khin1240,yes,kjj
khmu1256,yes,kjg
khva1239,yes,khv
kich1262,yes,quc
kiku1240,yes,kik
kili1267,yes,kij
kimm1245,yes,mji
kiow1266,yes,kio
kips1239,yes,sgc
koda1255,yes,kfa
koho1244,yes,kpm
koir1240,yes,nkd
koit1244,yes,kqi
koko1269,yes,kkk
kola1285,yes,kvv
kolb1240,yes,klc
kolc1235,yes,biw
kolu1245,yes,klx
komb1274,yes,tyn
komc1235,yes,bkm
komi1268,yes,kpv
komi1269,yes,koi
komi1270,yes,kmm
kona1242,yes,kxw
konk1267,yes,knn
kony1248,yes,nbe
kore1280,yes,kor
koro1298,yes,kfz
kosa1249,yes,kkl
kosr1238,yes,kos
kota1263,yes,kfe
koti1238,yes,eko
kove1237,yes,kvc
koyr1240,yes,khq
koyr1242,yes,ses
koys1242,yes,kqd
kryt1240,yes,kry
kuik1246,yes,kui
kuku1273,yes,gvn
kuma1276,yes,nee
kuma1280,yes,kue
kumb1268,yes,kgs
kunb1251,yes,wlg
kuni1267,yes,kup
kunj1245,yes,kjn
kuot1243,yes,kto
kurr1243,yes,vku
kusa1251,yes,ksg
kusu1250,yes,kgg
kute1248,yes,kub
kuyy1240,yes,kdt
kwai1243,yes,kwd
kwam1249,yes,kmq
kwam1252,yes,tnk
kwar1239,yes,kwf
kwaz1243,yes,xwa
kweg1241,yes,xwg
kwom1262,yes,kmo
kxoe1243,yes,xuu
kyer1238,yes,kgy
laal1242,yes,gdm
lach1248,yes,lbt
lagw1237,yes,kot
lahu1252,yes,lhi
lahu1253,yes,lhu
lakk1252,yes,lbe
lala1264,yes,leb
lala1268,yes,nrz
lama1277,yes,slp
lamb1269,yes,lmn
lamk1238,yes,lmk
lang1320,yes,lag
lash1243,yes,lsi
lave1248,yes,lbo
lavu1241,yes,lvk
lazz1240,yes,lzz
lega1249,yes,lea
lele1267,yes,lpa
lele1270,yes,lle
lele1276,yes,lln
lemb1266,yes,leq
lena1238,yes,tnl
lend1245,yes,led
leng1259,yes,lgr
lese1243,yes,les
leti1246,yes,lti
lewo1242,yes,lww
lewo1244,yes,lwt
lezg1247,yes,lez
liji1238,yes,mgi
lika1243,yes,lik
lill1248,yes,lil
ling1265,yes,lgk
lipo1242,yes,lpo
lisu1250,yes,lis
lith1251,yes,lit
litz1237,yes,lzl
livv1243,yes,olo
logo1259,yes,log
loka1252,yes,yaz
lolo1259,yes,ycl
lomb1257,yes,lmo
long1395,yes,lgu
loni1238,yes,los
lote1237,yes,uvl
loth1237,yes,njh
louu1245,yes,loj
lowl1260,yes,clo
lowl1265,yes,tac
luan1263,yes,lex
ludi1246,yes,lud
lugb1240,yes,lgg
lugu1238,yes,ruf
lule1254,yes,smj
lumu1239,yes,lmd
lund1266,yes,lun
luok1236,yes,luo
lush1249,yes,lus
luva1239,yes,lue
luya1241,yes,lyn
maan1238,yes,mhy
maba1277,yes,mde
mace1250,yes,mkd
maco1239,yes,wpc
macu1260,yes,myy
mada1285,yes,mmx
madi1260,yes,mhi
maee1241,yes,mme
magd1235,yes,xtm
maib1239,yes,ayz
mail1248,yes,mgu
mais1250,yes,mbq
maja1242,yes,mpe
maka1304,yes,mcp
makc1235,yes,mkg
makh1264,yes,vmw
makh1266,yes,xsq
mako1251,yes,kde
mala1463,yes,mjr
mala1522,yes,mbp
male1289,yes,mgl
male1297,yes,gut
mali1285,yes,tcf
malo1243,yes,mla
malt1254,yes,mlt
malu1245,yes,mll
mama1275,yes,mmn
mamb1294,yes,mcs
mamb1306,yes,mgm
mamm1241,yes,mam
mana1288,yes,nmm
mana1295,yes,mva
mana1298,yes,mle
mand1440,yes,tbf
mang1378,yes,zng
mang1381,yes,mpc
mang1394,yes,mdj
mang1401,yes,mrv
mang1403,yes,mbh
mang1405,yes,mqy
manm1238,yes,mml
maor1246,yes,mri
mapo1242,yes,bzh
mapu1245,yes,arn
mara1379,yes,nma
mara1382,yes,mrh
mara1386,yes,zmr
mara1399,yes,mrs
marg1265,yes,mrt
mari1416,yes,nng
mari1426,yes,mrb
mari1428,yes,dad
mari1440,yes,mrc
mars1254,yes,mah
maru1249,yes,mhx
masa1322,yes,mcn
mask1242,yes,klv
matb1237,yes,xmt
mati1250,yes,mbt
mato1252,yes,met
mats1244,yes,mcf
matu1261,yes,mjk
maun1240,yes,mph
maxa1247,yes,mbl
mayo1261,yes,mdm
mayo1264,yes,mfy
maza1304,yes,dkx
mban1263,yes,zmz
mbar1260,yes,mpk
mbay1241,yes,myb
mboc1235,yes,mbo
mbul1263,yes,mna
mbya1239,yes,gun
mehe1243,yes,nux
meke1243,yes,mek
melp1238,yes,med
mere1242,yes,lmb
meru1245,yes,mer
meta1238,yes,mgo
mezo1235,yes,pbe
mezq1235,yes,ote
mich1245,yes,ncl
miju1243,yes,mxj
mika1239,yes,mik
mikm1235,yes,mic
mina1276,yes,hna
mini1251,yes,vmg
mini1256,yes,hto
misk1235,yes,miq
mixt1426,yes,zpm
miya1266,yes,mkf
mlab1235,yes,mra
moba1244,yes,mfq
moch1257,yes,mhc
moco1246,yes,moc
moke1242,yes,mwt
moki1238,yes,mkj
mokl1243,yes,mkm
mokp1239,yes,bri
moks1248,yes,mdf
mono1270,yes,mnh
mono1275,yes,mnr
mopa1243,yes,mop
morm1235,yes,mhz
mose1249,yes,cas
motl1237,yes,mlv
motu1246,yes,meu
moun1252,yes,kpx
movi1243,yes,mzp
moyo1238,yes,nmo
mpad1242,yes,mpi
mpii1239,yes,mpz
mpot1240,yes,mpa
mpur1239,yes,akc
mual1241,yes,mtd
mudu1239,yes,udg
mudu1242,yes,wiv
mull1237,yes,mpb
munc1235,yes,mwq
mund1320,yes,unr
mund1325,yes,mua
mund1328,yes,boe
mund1330,yes,myu
murl1244,yes,mur
muru1274,yes,huu
musa1266,yes,mmq
muso1238,yes,msu
mwag1236,yes,sur
mwer1248,yes,mwe
naka1262,yes,nak
nali1244,yes,nal
namb1293,yes,ncm
namu1246,yes,nmy
nana1257,yes,gld
nand1266,yes,niq
nang1262,yes,ngr
naue1237,yes,nxa
nava1243,yes,nav
nawu1242,yes,naw
ndam1239,yes,ndj
ndog1248,yes,ndz
negi1245,yes,neg
nend1239,yes,anh
nene1249,yes,yrk
neng1238,yes,nen
nenn1238,yes,nqn
nezp1238,yes,nez
ngaa1240,yes,ntj
ngab1239,yes,gym
ngal1292,yes,ngk
ngam1268,yes,sba
ngan1291,yes,nio
ngar1235,yes,nbj
ngar1284,yes,ung
ngas1240,yes,anc
ngba1284,yes,nbm
ngba1285,yes,nga
ngit1239,yes,niy
nhen1239,yes,yrl
niha1238,yes,nll
nila1242,yes,nim
niva1238,yes,cag
noct1238,yes,njb
noku1237,yes,nkk
noon1242,yes,snf
noon1243,yes,nhu
nopa1235,yes,cya
nort2671,yes,sme
nort2684,yes,kxm
nort2690,yes,uzn
nort2697,yes,azj
nort2702,yes,gno
nort2722,yes,cng
nort2723,yes,pmi
nort2732,yes,tji
nort2745,yes,ykg
nort2747,yes,hea
nort2774,yes,ngb
nort2839,yes,mmg
nort2845,yes,mrq
nort2877,yes,xnn
nort2885,yes,stb
nort2930,yes,kiw
nort2938,yes,hdn
nort2942,yes,scs
nort2954,yes,pao
nort2957,yes,ncj
nort2959,yes,ntp
nort2961,yes,ojb
nort2972,yes,emp
nort2980,yes,qvn
nort3047,yes,gis
nots1237,yes,ncf
nsen1242,yes,nse
nucl1235,yes,hye
nucl1240,yes,mzm
nucl1302,yes,kat
nucl1417,yes,ibo
nucl1458,yes,mxk
nucl1593,yes,kwo
nucl1622,yes,mrz
nucl1630,yes,bbb
nucl1633,yes,nir
nucl1643,yes,jpn
nucl1706,yes,mid
nukn1238,yes,klt
nung1282,yes,nun
nusu1239,yes,nuf
nyah1250,yes,cbn
nyak1260,yes,nyy
nyal1254,yes,yly
nyan1307,yes,nyn
nyat1246,yes,rim
nyor1246,yes,nyo
obok1239,yes,afz
occi1239,yes,oci
ofay1240,yes,opy
okan1243,yes,oka
okin1246,yes,okn
oksa1245,yes,opm
oloo1241,yes,ong
olut1240,yes,plo
omie1241,yes,aom
onon1246,yes,ono
onto1237,yes,ojv
oroc1248,yes,oac
orok1265,yes,oaa
orok1267,yes,oro
orok1269,yes,okv
orow1242,yes,bpk
otta1242,yes,otw
owaa1237,yes,stn
paaa1242,yes,pqa
paas1238,yes,sig
paco1243,yes,pac
pagi1243,yes,pae
pagu1249,yes,pgu
pahn1237,yes,pha
pait1244,yes,pck
pala1344,yes,pau
pamo1252,yes,pmf
pamp1243,yes,pam
pana1307,yes,kre
pang1287,yes,pbr
pang1290,yes,pag
pany1241,yes,pnw
papa1265,yes,ppn
para1301,yes,prk
para1302,yes,pzn
patp1243,yes,gfk
paul1238,yes,plh
pawn1254,yes,paw
payn1244,yes,pmr
peer1241,yes,pfe
pela1242,yes,bxd
pemo1248,yes,aoc
pend1242,yes,ums
peng1244,yes,peg
phai1238,yes,prt
phom1236,yes,nph
pich1237,yes,cpu
pila1245,yes,plg
pile1238,yes,piv
pima1248,yes,pia
pina1252,yes,pnn
pite1240,yes,sje
plai1258,yes,crk
pnar1238,yes,pbv
pohn1238,yes,pon
poko1263,yes,pko
popt1235,yes,jac
port1285,yes,psw
psik1239,yes,kvj
puka1242,yes,pkp
pulu1242,yes,puw
pura1257,yes,iar
pure1242,yes,tsz
puri1258,yes,prx
qanj1241,yes,kjb
qawa1238,yes,alc
quer1236,yes,otq
quio1240,yes,chq
rabh1238,yes,rah
rade1240,yes,rad
rapa1244,yes,rap
rapa1245,yes,ray
raro1241,yes,rar
rata1244,yes,rth
remb1250,yes,reb
reng1252,yes,ren
renn1242,yes,mnv
rere1240,yes,pgk
rikb1245,yes,rkb
roma1326,yes,roh
romb1245,yes,rol
rong1264,yes,rnp
rong1266,yes,nbu
ronn1241,yes,cla
roto1249,yes,roo
rotu1241,yes,rtm
ruch1235,yes,pce
ruka1240,yes,dru
ruma1248,yes,rbb
rung1258,yes,rou
russ1264,yes,bxr
saaa1241,yes,sax
saar1237,yes,sxr
saba1268,yes,sae
sabu1255,yes,hvn
saga1262,yes,tga
sais1237,yes,xsy
saka1289,yes,sku
samb1305,yes,ndi
samb1311,yes,ccg
samo1305,yes,smo
sanb1241,yes,zpx
sanb1242,yes,cuk
sand1278,yes,hve
sang1331,yes,sng
sani1269,yes,ysn
sanj1284,yes,zab
sanm1289,yes,qvs
sanm1295,yes,mig
sant1436,yes,mza
sant1451,yes,zpi
sanu1240,yes,xsu
sapu1248,yes,spu
sara1321,yes,kwv
sars1236,yes,srs
sasa1249,yes,sas
sauk1252,yes,skc
saur1249,yes,mjt
savo1255,yes,svs
seda1262,yes,sed
seim1238,yes,ssg
seke1241,yes,ske
sela1259,yes,slu
selk1253,yes,sel
sema1265,yes,szc
seme1247,yes,sza
sene1264,yes,see
seri1257,yes,sei
seve1240,yes,ojs
shab1252,yes,sbf
shan1283,yes,swo
shaw1249,yes,sjw
shee1238,yes,shx
shil1265,yes,shk
ship1254,yes,shp
shix1238,yes,sxg
shol1240,yes,sle
shor1247,yes,cjs
shos1248,yes,shh
shua1257,yes,jiv
shwe1236,yes,pll
sich1238,yes,iii
sici1248,yes,scn
siee1239,yes,erg
sier1250,yes,zaa
sika1261,yes,sky
siks1238,yes,bla
sile1255,yes,sbq
sina1266,yes,snc
sing1264,yes,sgp
sioo1240,yes,xsi
siri1273,yes,srq
siwi1239,yes,siz
skol1241,yes,sms
soch1239,yes,cso
soga1242,yes,xog
sons1242,yes,sov
sooo1254,yes,sss
sout2649,yes,pbt
sout2674,yes,sma
sout2679,yes,vro
sout2728,yes,qxs
sout2729,yes,pmj
sout2730,yes,bfs
sout2782,yes,fal
sout2856,yes,erk
sout2857,yes,sns
sout2869,yes,nwi
sout2895,yes,nxl
sout2918,yes,ssb
sout2954,yes,ams
sout2959,yes,xsl
sout2976,yes,stp
sout2985,yes,skd
sout2994,yes,nab
sout2996,yes,ayc
sude1239,yes,tgo
sumi1235,yes,nsm
sund1252,yes,sun
supy1237,yes,spp
surs1246,yes,sgz
taba1263,yes,tby
tabo1241,yes,knv
taga1272,yes,bgs
taha1241,yes,thv
tahi1242,yes,tah
taia1239,yes,gpn
taji1246,yes,tdj
taku1257,yes,nho
tama1365,yes,taq
tane1237,yes,tnx
tang1336,yes,nmf
tang1347,yes,tgp
tara1313,yes,tro
tari1256,yes,tae
tari1263,yes,rif
tata1255,yes,tat
tata1257,yes,txx
taul1251,yes,tuh
taus1251,yes,tsg
taus1253,yes,trr
taya1257,yes,thz
tbol1240,yes,tbl
tean1237,yes,tkw
teda1241,yes,tuq
tedi1235,yes,ctd
teke1275,yes,teg
tekt1235,yes,ttc
temi1246,yes,tea
tene1248,yes,dtk
tenn1246,yes,tex
teop1238,yes,tio
tera1251,yes,ttr
teri1250,yes,tfr
term1237,yes,twu
tete1251,yes,nhg
tezo1238,yes,mxb
thad1238,yes,tcz
ticu1245,yes,tca
tief1242,yes,tiq
tiga1245,yes,tgc
tigo1236,yes,nza
tika1246,yes,tik
tiko1237,yes,tkp
tiri1258,yes,cir
tita1241,yes,ttv
toab1237,yes,mlu
toar1246,yes,tqo
toba1268,yes,tmf
tobe1252,yes,tlb
toho1245,yes,ood
tojo1241,yes,toj
toke1240,yes,tkl
tong1308,yes,tnz
tong1318,yes,toi
tong1325,yes,ton
toor1238,yes,ttj
tosk1239,yes,als
tote1238,yes,ttl
toto1302,yes,txo
trio1238,yes,tri
trum1247,yes,tpy
tsat1238,yes,huq
tsha1245,yes,tsj
tsis1238,yes,tsw
tsog1243,yes,tsv
tswa1255,yes,tsc
tugu1245,yes,tzn
tuka1248,yes,khc
tuki1240,yes,bag
tula1252,yes,tul
tulu1258,yes,tcy
tung1290,yes,lcm
tunn1238,yes,tqq
turk1303,yes,klj
turk1304,yes,tuk
tusc1257,yes,tus
tutu1241,yes,tmi
tuva1244,yes,tvl
tuvi1240,yes,tyv
tuwa1243,yes,ifk
tuwu1238,yes,bov
ubir1237,yes,ubr
udih1248,yes,ude
udii1243,yes,udi
ughe1237,yes,uge
ulch1241,yes,ulc
ulit1238,yes,uli
umbu1257,yes,umb
umbu1258,yes,ubu
umes1235,yes,sju
unua1237,yes,onu
uppe1275,yes,tku
urar1246,yes,ura
urav1235,yes,uur
urim1252,yes,uri
urip1239,yes,upv
utes1238,yes,ute
veps1250,yes,vep
viem1243,yes,vig
voti1245,yes,vot
vunj1238,yes,vun
vure1239,yes,msn
