ISO_639	Language_ID	L1_scaled	L1_log10_st	Vehicularity	All_Users_scaled	All_Users_log10_scaled
kbt	abad1241	-0.09082050959530061	-0.4441012273999046	0	-0.08159237020251993	-0.4538399065474988
mij	abar1238	-0.09086370367538628	-0.5778912951472663	0	-0.08161958658830196	-0.5870990194739418
aau	abau1245	-0.09063127838730624	-0.16123974385610915	0	-0.0814731365124272	-0.17210097769605445
aba	abee1242	-0.07991503280414673	0.9035183174290413	0	-0.074720880801741	0.8884315200979491
abp	aben1249	-0.09081639587338769	-0.4340102943831886	0	-0.08158977816577878	-0.4437890200725254
abk; abk	abkh1244	-0.08363383741342742	0.7810066768887072	1	-0.07706408201573728	0.7664060751867731
aah	abua1245	-0.09083449624980454	-0.48121867218433856	0	-0.08160118312743983	-0.4908100482728918
abz	abui1241	-0.09028161202470794	0.06434382435167346	0	-0.08125281338942976	0.052587347052504244
kgr	abun1252	-0.09081639587338769	-0.4340102943831886	0	-0.08158977816577878	-0.4437890200725254
acn; acn	acha1249	-0.08836050389137377	0.4709955336355426	0	-0.08004233223131442	0.45762523186409054
aca	acha1250	-0.09092952322599301	-1.172814104290038	0	-0.0816610591761603	-1.1796608377082907
acz	ache1245	-0.0901170631481911	0.13078219631755741	0	-0.0811491319197839	0.1187620539012146
guq	ache1246	-0.09090237266136773	-0.7889812071593989	0	-0.08164395173366874	-0.7973512070696269
acr	achi1256	-0.08583879235875314	0.6740382666631188	0	-0.07845341370899171	0.6598621762425642
ace	achi1257	0.0530404594214638	1.6686079077293026	0	0.00905374667210857	1.650484801251767
acv	achu1247	-0.09093939615858403	-2.1040598350030626	0	-0.08166728006433906	-2.1072108575325545
acu; acu	achu1248	-0.09061317801088939	-0.14426685890045726	0	-0.08146173155076615	-0.15519545076812344
ach; ach; lth	acol1236	-0.021582456078925276	1.4511265710380887	0	-0.037965799812285955	1.4338665537727813
adn	adan1251	-0.09081639587338769	-0.4340102943831886	0	-0.08158977816577878	-0.4437890200725254
adt	adny1235	-0.09093404832009723	-1.3445273057330298	0	-0.08166391041657557	-1.3506925838410595
adr	adon1237	-0.08690836005611262	0.6039729729835897	0	-0.07912734326168976	0.5900749413613046
adz	adze1240	-0.08970569095689898	0.25150647098967305	0	-0.08088992824566928	0.23900722622501464
awi	aeky1238	-0.09007181220714897	0.14672344781163432	0	-0.08112061951563129	0.13464004147387518
aal	afad1236	-0.09073412143512927	-0.2819491338825217	0	-0.08153793743095586	-0.29233132444486215
aar; aar; aar	afar1241	0.013589866276550278	1.5732652421117905	1	-0.015212901298503423	1.5581697465539452
agq	aghe1239	-0.08933134226282316	0.33038691276121734	0	-0.08065405290222495	0.3175746256942419
ahh	aghu1255	-0.09081639587338769	-0.4340102943831886	0	-0.08158977816577878	-0.4437890200725254
kit	agob1244	-0.09083943271610005	-0.4955079362378155	0	-0.0816042935715292	-0.5050426044274618
agr	agua1253	-0.08874308002927545	0.42319159687833496	0	-0.08028339164824103	0.41001100822316633
msm	agus1235	-0.08847157438302265	0.45788950246060683	0	-0.08011231722332537	0.44457121284934425
agn	agut1237	-0.09032274924383715	0.04512840172882354	0	-0.08127873375684122	0.03344818211790706
thm; thm	aheu1239	-0.09091101147738487	-0.8670034246860203	0	-0.08164939501082515	-0.875063788214176
kak	ahin1234	-0.08682608561785421	0.6099883680289231	0	-0.07907550252686683	0.5960664639095773
tba	aika1237	-0.09093363694790593	-1.3241251535122138	0	-0.08166365121290145	-1.3303713989241783
ail	aime1238	-0.090927466365036555	-1.1187247390467787	0	-0.08165976315778974	-1.1257861297241232
ain	ainu1240	-0.09093972525633706	-2.4909277559318777	0	-0.08166748742727835	-2.492543467274714
aio	aito1238	-0.0908781017020815	-0.640299086267308	0	-0.08162865871689598	-0.6492591411061361
ajg; ajg	ajab1235	-0.04441361269563748	1.3322460159898297	0	-0.052351603725648115	1.3154577841483517
aja	ajas1235	-0.09093158008694947	-1.238959776918128	0	-0.08166235519453088	-1.2455440068160812
aji	ajie1238	-0.09071931203624276	-0.2612514045143357	0	-0.08152860609868773	-0.2717157353982646
cpc	ajyi1238	-0.09077525865425848	-0.3483763431779698	0	-0.08156385779836732	-0.3584949129229399
akj	akaj1239	-0.09093968411911793	-2.4052689990503553	0	-0.08166746150691094	-2.4072246528918084
aka	akan1250	0.2422716674158352	1.91845435116126	1	0.15420780417630336	1.9338639076491424
tsr	akei1237	-0.09091306833834133	-0.889036767289508	0	-0.08165069102919571	-0.897009690025733
ahk; ahk; ahk; ahk; ahk	akha1245	-0.0655745982157037	1.1516170866229043	1	-0.06568504072210486	1.1355456927534786
akl; mlz	akla1240	-0.06895196390621194	1.1090713198619548	0	-0.06781310288658601	1.093168771709941
bss	akoo1248	-0.08682608561785421	0.6099883680289231	0	-0.07907550252686683	0.5960664639095773
aqz	akun1241	-0.09093960184467967	-2.2845397620027494	0	-0.08166740966617611	-2.286974537886037
akz	alab1237	-0.09092458675969751	-1.0564666242951588	0	-0.08165794873207093	-1.0637750904596843
alw	alab1254	-0.07950366061285462	0.9144262714204318	0	-0.0736918422155059	0.9293995058922496
mim	alac1244	-0.08970569095689898	0.25150647098967305	0	-0.08088992824566928	0.23900722622501464
wbj	alag1248	-0.08875953491692713	0.4209528695007976	0	-0.08029375979520562	0.4077811653847718
amp	alam1246	-0.09089867031164611	-0.7609291543097203	0	-0.0816416189006017	-0.7694104806655356
fbl; lbl; rbl; ubl	alba1269	-0.06204502481441739	1.1904092929995762	0	-0.06346107319820131	1.174183949667858
ale; ale	aleu1260	-0.09093343126181029	-1.3144254379908122	0	-0.0816635216110644	-1.320710177371756
aol	alor1247	-0.08991137705254504	0.19722131259541675	0	-0.08101953008272658	0.18493750210804855
xua	aluk1238	-0.09084107820486521	-0.5004275844664786	0	-0.08160533038622565	-0.5099427287035011
aly	alya1239	-0.09087604484112505	-0.6305421538274806	0	-0.0816273626985254	-0.6395409297044509
amc; amc	amah1246	-0.09091841617682814	-0.9553645377195391	0	-0.08165406067695921	-0.9630742342681736
amm	amap1240	-0.090919650293402	-0.9730231662956691	0	-0.08165483828798155	-0.9806627833972178
aie	amar1272	-0.09093034597037561	-1.1975382534157955	0	-0.08166157758350853	-1.2042868673966902
amr	amar1274	-0.09086123544223852	-0.568392724628002	0	-0.08161803136625728	-0.5776381446662797
nyi	amas1236	-0.08444012690835996	0.7461877807666333	0	-0.07757212121700197	0.7317253601798324
abs	ambo1250	-0.08271236370493308	0.81637487319454	1	-0.0401949514096718	1.4183394011046042
abt	ambu1247	-0.08958227929951135	0.27988464515563366	0	-0.08081216714343488	0.2672727797111596
adx	amdo1237	-0.016892813098195205	1.4706080117964162	0	-0.035010877927379135	1.4532706811321157
amh; amh	amha1245	1.2204242364263926	2.326392216700849	1	1.3952179710288637	2.477894130837186
amy	amii1238	-0.09093857341420145	-1.7955583488767757	0	-0.08166676165699083	-1.7999336801615977
ami	amis1246	-0.08649698786482052	0.6329036772990667	0	-0.07886813958757513	0.6188908322441591
ajz	amri1238	-0.08579765513962392	0.6764298662176406	0	-0.07842749334158025	0.662244284574497
ano	ando1256	-0.09092458675969751	-1.0564666242951588	0	-0.08165794873207093	-1.0637750904596843
aty	anei1239	-0.09090278403355903	-0.7922677188401798	0	-0.08164421093734285	-0.8006246760092665
anz	anem1249	-0.09090566363889807	-0.8163487870228056	0	-0.08164602536306166	-0.8246101768642146
myo	anfi1235	-0.09091923892121072	-0.9670198392422642	0	-0.08165457908430744	-0.9746832809482416
njm	anga1288	-0.084645813004006	0.736612903656539	1	-0.07770172305405927	0.7221884816091433
agm	anga1290	-0.0908369644829523	-0.48827759468432175	0	-0.08160273834948452	-0.4978409569674038
tnd	ango1257	-0.09093775066981886	-1.6473244998663652	0	-0.0816662432496426	-1.6522881070828808
aoi	anin1240	-0.09087892444646409	-0.6442931761406783	0	-0.08162917712424421	-0.6532373801670421
xmv	anta1255	-0.08452240134661838	0.7423946971303949	0	-0.07762396195182489	0.7279473296493791
anu; anu	anua1242	-0.08182379977174212	0.8469114584054972	0	-0.0758688938743947	0.8348598074032539
cko; cko; cko	anuf1239	-0.0836502923010791	0.7803353051117946	0	-0.07707445016270187	0.7657373677936042
aud	anut1237	-0.09092870048161043	-1.1499864596273586	0	-0.08166054076881207	-1.1569237860783224
anl	anuu1241	-0.09077525865425848	-0.3483763431779698	0	-0.08156385779836732	-0.3584949129229399
njo	aona1235	-0.08024413055718041	0.894494784234868	0	-0.0749282437410327	0.8794437973980211
aou	aoua1234	-0.09093775066981886	-1.6473244998663652	0	-0.0816662432496426	-1.6522881070828808
apt	apat1240	-0.08909686011378666	0.3709061244792637	0	-0.08050630680797961	0.3579330342139361
apn	apin1244	-0.0908781017020815	-0.640299086267308	0	-0.08162865871689598	-0.6492591411061361
app	apma1240	-0.09052843533948321	-0.07559091098129814	0	-0.08140833559389854	-0.08679204793577663
kbx	apma1241	-0.09052843533948321	-0.07559091098129814	0	-0.08140833559389854	-0.08679204793577663
apu	apur1254	-0.0908575330925169	-0.554689926276937	0	-0.08161569853319024	-0.5639897267858064
ard	arab1267	-0.09093919047248838	-1.9924930111920984	0	-0.081667150462502	-1.9960867941144536
akr	arak1252	-0.09093947843302229	-2.163810524955144	0	-0.08166733190507387	-2.1667244228802653
stk	aram1253	-0.09090895461642841	-0.8464887752038645	0	-0.08164809899245458	-0.8546305524888512
aro	arao1248	-0.09093528243667111	-1.415759126332373	0	-0.08166468802759791	-1.4216417162021289
arp	arap1274	-0.09089579070630706	-0.7408029182790977	0	-0.08163980447488291	-0.7493641169470161
awt	araw1273	-0.0909258208762714	-1.0815731969712266	0	-0.08165872634309328	-1.0887820260249892
arw; arw; arw; arw	araw1276	-0.090836553110761	-0.4870894249698392	0	-0.0816024791458104	-0.4966575025838019
arv	arbo1245	-0.09064320818085371	-0.1729798359752009	0	-0.08140004107632687	-0.07745130460469067
aqc	arch1244	-0.09089990442821999	-0.7699893340911634	0	-0.08164239651162405	-0.7784347045183038
alu	area1240	-0.09020345130836244	0.0977535231466462	0	-0.08120356469134797	0.08586445722606956
mwc	aree1239	-0.09086987425825566	-0.6030544814144083	0	-0.08162347464341368	-0.6121623439555032
agj	argo1244	-0.08914211105482879	0.3635040929694418	0	-0.08045083722171908	0.37177144970012066
