Language_ID	L1_log10_st	Vehicularity	Education	Official	neighboring_languages_st
ghot1243	NA	NA	0	0	0.5579993779054964
alum1246	NA	NA	0	0	-0.346890771420204
arii1243	NA	NA	0	0	0.10555430324264616
amal1242	NA	NA	0	0	-1.0255583834144792
arbe1236	NA	NA	0	0	-0.5731133087516291
aran1261	NA	NA	0	0	-1.0255583834144792
ambr1239	NA	NA	0	0	-0.12066823408877893
arif1239	NA	NA	0	0	-0.346890771420204
anka1246	NA	NA	0	0	-0.12066823408877893
afad1236	-0.2819491338825217	0	0	0	0.7842219152369214
anam1249	NA	NA	0	0	-0.7993358460830542
para1310	NA	NA	0	0	-0.7993358460830542
east2544	NA	NA	0	0	-0.5731133087516291
afar1241	1.5732652421117903	1	1	1	1.0104444525683465
aasa1238	NA	NA	0	0	-1.0255583834144792
arva1236	NA	NA	0	0	-0.346890771420204
abau1245	-0.16123974385610915	0	0	0	1.2366669898997715
solo1258	NA	NA	0	0	-0.5731133087516291
mand1444	NA	NA	0	0	0.7842219152369214
amar1273	NA	NA	0	0	-0.5731133087516291
abee1242	0.9035183174290412	0	0	0	0.7842219152369214
bank1256	-0.0213087297543154	0	0	0	-0.12066823408877893
amba1267	NA	NA	0	0	-0.7993358460830542
cama1250	NA	NA	0	0	-0.7993358460830542
west2630	NA	NA	0	0	-0.12066823408877893
abai1240	NA	NA	0	0	-0.5731133087516291
abag1245	NA	NA	0	0	-1.0255583834144792
abid1235	NA	NA	0	0	0.10555430324264616
akab1249	NA	NA	0	0	-0.7993358460830542
abkh1244	0.7810066768887072	1	0	0	-0.12066823408877893
lamp1242	NA	NA	0	0	-0.5731133087516291
aban1242	NA	NA	0	0	0.10555430324264616
abua1244	NA	NA	0	0	0.7842219152369214
abon1238	NA	NA	0	0	-0.12066823408877893
aben1249	-0.4340102943831886	0	0	0	-0.5731133087516291
abaz1241	NA	NA	0	0	-0.12066823408877893
abro1238	NA	NA	0	0	0.5579993779054964
ambu1247	0.27988464515563366	0	0	0	1.0104444525683465
abur1243	NA	NA	0	0	0.5579993779054964
pall1244	NA	NA	0	0	0.33177684057407125
inab1237	NA	NA	0	0	-1.0255583834144792
anem1248	NA	NA	0	0	-0.12066823408877893
abui1241	0.06434382435167346	0	0	0	0.33177684057407125
acha1250	-1.172814104290038	0	0	0	-0.5731133087516291
giky1238	NA	NA	0	0	-0.346890771420204
achi1257	1.6686079077293026	0	0	0	0.33177684057407125
acol1236	1.4511265710380887	0	0	0	1.2366669898997715
akac1240	NA	NA	0	0	-0.7993358460830542
akak1251	NA	NA	0	0	-0.7993358460830542
akar1243	NA	NA	0	0	-0.5731133087516291
acha1249	0.4709955336355426	0	0	0	0.10555430324264616
east2403	NA	NA	0	0	-0.12066823408877893
achi1256	0.6740382666631188	0	0	0	0.10555430324264616
acro1239	NA	NA	0	0	0.10555430324264616
achu1248	-0.14426685890045726	0	0	0	0.33177684057407125
achu1247	-2.1040598350030626	0	0	0	-0.7993358460830542
ache1245	0.1307821963175574	0	0	0	-0.12066823408877893
adan1247	NA	NA	0	1	0.33177684057407125
dzod1238	NA	NA	0	0	0.33177684057407125
adel1244	NA	NA	0	0	0.5579993779054964
ande1247	NA	NA	0	0	-0.5731133087516291
adho1243	NA	NA	0	0	0.10555430324264616
bori1243	0.7328724605971556	0	0	0	1.6891120645626216
adio1239	NA	NA	0	0	1.0104444525683465
galo1242	0.24345882230359403	0	0	0	-0.5731133087516291
adan1251	-0.4340102943831886	0	0	0	-0.5731133087516291
abuu1241	NA	NA	0	0	0.5579993779054964
adan1248	NA	NA	0	0	-0.346890771420204
adon1237	0.6039729729835897	0	0	0	-0.5731133087516291
adny1235	-1.3445273057330298	0	0	0	-0.7993358460830542
