ISO_639	Language_ID	L2_prop	L1_scaled	L1_log10_st	Vehicularity	All_Users_scaled	All_Users_log10_scaled
aar	afar1241	0.012239639252737813	-0.18069527584385095	0.6027423185264142	1	-0.1960395539376902	0.49651566259840174
aka	akan1250	0.10989010989010989	-0.09999770033887903	0.9481253609235111	1	-0.1384296723618668	0.8790479412711365
alw	alab1254	0.09652258693532662	-0.20083099676058674	0.1623272883188248	0	-0.20841853017692127	0.06225020438254985
abs	ambo1250	0.875	-0.2018364937077733	0.08558780134950715	1	-0.19813150619521058	0.45984020277917875
amh	amha1245	0.44112478031634444	0.2055186797678038	1.266826664233753	1	0.24207001526931102	1.3211060795262068
anu	anua1242	0.022759141408693777	-0.20324676763113494	-0.09894386049124855	0	-0.21012990314436533	-0.22705978903006305
arv	arbo1245	0.3013565891472868	-0.2043217469955694	-0.6887262236015009	0	-0.2107857476896359	-0.7564880823699769
agj	argo1244	0.06902428632296549	-0.20385135489809714	-0.26884948324488667	0	-0.21049424353563895	-0.3911947694031397
awa	awad1243	0.08293752283522104	-0.197943415784051	0.30004663148686594	0	-0.2065104595676076	0.20117331541350203
bhj	bahi1252	0.23278688524590163	-0.20426386646617364	-0.5759209897967462	0	-0.21074650368419612	-0.662322227145396
blz	bala1315	0.04878048780487805	-0.204163316771455	-0.456887907926225	0	-0.21070471240051278	-0.5909791013283257
bam	bamb1269	0.7142857142857143	-0.15285074499868492	0.7837018514250562	0	-0.0994244742574155	0.9829371460259396
bap	bant1281	0.17647058823529413	-0.20270018980343354	-0.009483128340559607	0	-0.2095823179244459	-0.09320808217507222
brd	bara1357	0.2558139534883721	-0.20441262845041125	-1.574721582668389	0	-0.2108661859604207	-1.688985626451101
bel	bela1254	0.3646723646723647	-0.1756677911079182	0.6475403166053831	1	-0.18292743917898568	0.6493013379406045
byw	belh1239	0.0196078431372549	-0.2044069564163502	-1.2677680176339923	0	-0.21086302574334978	-1.437430990606457
bcq	benc1235	0.06098219104155424	-0.19992862770541933	0.2146627896919625	0	-0.2079178307971723	0.10710605005339789
wti	bert1248	0.07728337236533958	-0.20187516666728048	0.08206578886194905	0	-0.20916838520986805	-0.02589200689233485
bho	bhoj1244	0.09195402298850575	-0.18404693233447278	0.5672413802874469	0	-0.1970170719636548	0.48006936204386924
smk	boli1256	0.08896797153024912	-0.2037546724993292	-0.23193926970732642	0	-0.21042053167146607	-0.3477749147226485
bwo	boro1277	0.059717129387113675	-0.20395190459281579	-0.3146658315521487	0	-0.2105639752775563	-0.4410079777235633
bug	bugi1244	0.11441647597254005	-0.15452657324399582	0.7760023592982609	1	-0.17608162889942894	0.7021516250909501
byh	bujh1238	0.3063583815028902	-0.20436828345684302	-0.8505458942123302	0	-0.21082658374397792	-0.9222288909393611
bum	bulu1251	0.4825090470446321	-0.19335422458919957	0.4249549648505397	1	-0.19766981201356604	0.4684276586249131
bji	burj1242	0.06167846309403438	-0.20381654923454068	-0.25487893524378635	0	-0.21047426332191607	-0.37863236117576454
bee	byan1241	0.12727272727272726	-0.20440850333473048	-1.3196717073572806	0	-0.21086351927850946	-1.4631463095052542
rab	caml1239	0.07692307692307693	-0.20342466324486796	-0.1374525910559401	0	-0.210205605069666	-0.25316039932803164
khm	cent1989	0.06134969325153374	-0.007182597521658929	1.0963339846004476	1	-0.08111591188185674	1.0196200224526262
knc	cent2050	0.06451612903225806	-0.11095503886591196	0.9222903265433089	1	-0.14917600245186866	0.8403214957702637
shu	chad1249	0.4827586206896552	-0.20344786702057227	-0.1429793361162057	1	-0.20971366195887928	-0.11919846491278704
cra	char1269	0.048656499636891795	-0.2042458190850703	-0.5495845360945704	0	-0.21075828484607256	-0.6869402549752821
cdm	chep1245	0.022965350523771154	-0.20378947816288565	-0.24456394328107903	0	-0.21047275087545897	-0.3777075405144576
ctn	chhi1245	0.21398305084745764	-0.20436686544832777	-0.8435338711989546	0	-0.21083032505889812	-0.9451167070509159
chv	chuv1255	0.16090104585679807	-0.19096939208625713	0.4704558548018786	1	-0.20097331348567773	0.39895223686425746
col	colu1241	0	-0.2044144718614811	-2.08531229398949	0	-0.2108677620888339	-2.288254978000343
swc	cong1236	0.8198198198198198	-0.17863271800346828	0.622173272078621	1	-0.12250918333964177	0.9269601019096624
ces; ces	czec1258	0.20446436739548074	-0.06989466865849397	1.0071583272813516	1	-0.10645177811182562	0.9672294340622791
dsh	daas1238	0.004768816089570807	-0.20379592365613683	-0.24697880152004395	0	-0.21048397482021963	-0.3846567064573132
dry	dara1250	0.029045643153526972	-0.20426386646617364	-0.5759209897967462	0	-0.21077197646663168	-0.7191156654648871
dwr	dawr1236	0.0375234521575985	-0.1978016149325247	0.3050978581302038	0	-0.2066250870885676	0.19474429483422165
dhi	dhim1246	0.05531081742535487	-0.20416589496875548	-0.4592902441790579	0	-0.21070526961762856	-0.5918039560836121
dwy	dhuw1249	0.6666666666666666	-0.20440824551500045	-1.3101780701468086	0	-0.21085595704622392	-1.2214635916788459
dim	dime1235	0.4818181818181818	-0.20440734314594527	-1.2797008238392484	0	-0.21085914114402834	-1.2962032925573101
mdx	dizi1235	0.05702364394993046	-0.20397768656582055	-0.3280236360523465	0	-0.21058172662281607	-0.4555214784461585
djj	djee1236	0.35714285714285715	-0.2044123706306812	-1.5474347099976362	0	-0.21086566854452746	-1.6255411744270407
dob	dobu1241	0.9090909090909091	-0.20428578114322773	-0.6125052183353877	1	-0.2099922705167682	-0.1858202299150115
dus	dumi1241	0.2897727272727273	-0.20438246354199566	-0.9354926000500157	0	-0.21083987735231147	-1.015844144432088
