"model","WAIC"
"L1 speakers (nonlinear)",284
"L1 speakers (linear)",284.2
"L1 speakers (nonlinear)+L2 proportion (nonlinear)",286.22
"L1 speakers (linear)+L2 proportion (linear)",286.28
"L2 proportion (nonlinear)",288.02
"L2 proportion (linear)",288.3
