"model","WAIC"
"Phylogenetic+Spatial: local+L1 speakers (linear)",93.25
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",93.88
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",96.51
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",99.39
"Phylogenetic+Spatial: local+L2 proportion (linear)",101.21
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",101.4
