"","phy_id","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","model"
"51",51,-0.43,0.17,-0.76,-0.43,-0.09,-0.43,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"52",52,-0.41,0.19,-0.78,-0.41,-0.04,-0.42,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"53",53,-0.5,0.14,-0.76,-0.5,-0.23,-0.5,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"54",54,-0.52,0.19,-0.9,-0.52,-0.14,-0.52,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"55",55,-0.55,0.22,-0.97,-0.55,-0.12,-0.55,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"56",56,-0.29,0.23,-0.73,-0.29,0.16,-0.3,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"57",57,-0.53,0.14,-0.8,-0.53,-0.25,-0.53,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"58",58,-0.59,0.17,-0.92,-0.59,-0.26,-0.59,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"59",59,-0.61,0.19,-0.99,-0.61,-0.24,-0.61,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"60",60,-0.61,0.2,-1,-0.61,-0.23,-0.61,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"61",61,-0.5,0.23,-0.95,-0.5,-0.05,-0.5,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"62",62,-0.47,0.17,-0.8,-0.47,-0.13,-0.47,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"63",63,-0.49,0.22,-0.91,-0.49,-0.07,-0.49,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"64",64,-0.52,0.11,-0.73,-0.52,-0.31,-0.52,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"65",65,-0.55,0.12,-0.78,-0.55,-0.32,-0.55,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"66",66,-0.67,0.16,-0.99,-0.67,-0.35,-0.67,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"67",67,-0.68,0.17,-1.01,-0.67,-0.34,-0.67,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"68",68,-0.66,0.2,-1.06,-0.66,-0.27,-0.66,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"69",69,-0.78,0.2,-1.19,-0.78,-0.38,-0.78,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"70",70,-0.54,0.13,-0.8,-0.54,-0.27,-0.54,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"71",71,-0.53,0.14,-0.82,-0.53,-0.25,-0.54,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"72",72,-0.55,0.16,-0.87,-0.55,-0.23,-0.55,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"73",73,-0.52,0.15,-0.82,-0.52,-0.23,-0.52,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"74",74,-0.52,0.17,-0.86,-0.52,-0.19,-0.52,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"75",75,-0.54,0.18,-0.9,-0.54,-0.18,-0.54,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"76",76,-0.54,0.19,-0.91,-0.54,-0.17,-0.54,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"77",77,-0.53,0.2,-0.91,-0.53,-0.15,-0.53,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"78",78,-0.5,0.17,-0.83,-0.5,-0.16,-0.5,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"79",79,-0.48,0.18,-0.83,-0.48,-0.13,-0.48,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"80",80,-0.48,0.19,-0.85,-0.48,-0.1,-0.48,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"81",81,-0.47,0.2,-0.86,-0.47,-0.07,-0.47,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"82",82,-0.47,0.22,-0.91,-0.47,-0.03,-0.47,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"83",83,-0.48,0.15,-0.76,-0.48,-0.19,-0.48,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"84",84,-0.56,0.12,-0.79,-0.56,-0.34,-0.56,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
