"model","WAIC"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",3128.92
"Phylogenetic+Spatial: local+L1 speakers (linear)",3132.73
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",3134.4
"Phylogenetic+Spatial: local+Vehicularity",3136.39
"Phylogenetic+Spatial: local+Neighbours",3153.06
"Phylogenetic+Spatial: local+Education",3156.96
"Phylogenetic+Spatial: local+Official",3157.39
