"model","WAIC"
"Phylogenetic+Spatial: local+L2 proportion (linear)",282.59
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",283.71
"Phylogenetic+Spatial: local+L1 speakers (linear)",283.99
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",284.47
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",285.31
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",285.85
