"model","WAIC"
"L1 speakers (nonlinear)",3609.09
"Education",3627.87
"Official",3630.71
"Vehicularity",3637.69
"L1 speakers (linear)+Vehicularity",3639.72
"L1 speakers (linear)",3646.12
"Neighbours",3648.08
