Language_ID	Informativity	informativity_st
abar1238	0.2692307692307692	-0.43261002911988083
abkh1244	0.48	2.1431196153684406
abua1245	0.2708333333333333	-0.4130257100468249
abun1252	0.25925925925925924	-0.5544680144633403
acha1249	0.18867924528301888	-1.4169991991315998
achi1256	0.34782608695652173	0.5278730975934731
achi1257	0.24528301886792453	-0.7252662688530944
achu1248	0.28846153846153844	-0.1975982002432093
acol1236	0.2653061224489796	-0.48057162684981347
adan1251	0.35294117647058826	0.5903826377550434
adny1235	0.3333333333333333	0.35076273380235806
adon1237	0.13333333333333333	-2.0933602865150274
adze1240	0.2926829268292683	-0.14601023780686664
afar1241	0.2830188679245283	-0.26411098200075767
aghe1239	0.34615384615384615	0.507437286386806
aghu1255	0.29411764705882354	-0.12847707410301132
aghw1237	0.3191489361702128	0.17742067562382052
agob1244	0.3148148148148148	0.12445504673593383
agua1253	0.4	1.1654704072414872
agut1237	0.32608695652173914	0.2622075519068009
aheu1239	0.24528301886792453	-0.7252662688530944
ahom1240	0.23529411764705882	-0.8473367859610661
aime1238	0.3469387755102041	0.5170296059327927
ainu1240	0.375	0.8599550297018136
ajab1235	0.22448979591836735	-0.9793722432411168
ajas1235	0.19047619047619047	-1.395039423567203
ajie1238	0.3333333333333333	0.35076273380235806
akab1249	0.24074074074074073	-0.7807757015297648
akha1245	0.3111111111111111	0.07919350932264885
akka1240	0.30612244897959184	0.01822898954148959
akla1240	0.3695652173913043	0.7935386432801452
akoo1248	0.40816326530612246	1.2652305305197475
akun1241	0.3333333333333333	0.35076273380235806
alab1237	0.3333333333333333	0.35076273380235806
alab1254	0.37037037037037035	0.8033781079352073
alac1244	0.38636363636363635	0.9988256558562104
alag1248	0.32075471698113206	0.19704430485157914
aleu1260	0.4528301886792453	1.8110878088347586
alor1247	0.11363636363636363	-2.3340693718493153
alse1251	0.43902439024390244	1.6423724599863425
aluk1238	0.28888888888888886	-0.19237571515706106
amah1246	0.2978723404255319	-0.08259241164398684
amam1246	0.29411764705882354	-0.12847707410301132
amap1240	0.2916666666666667	-0.1584295620970968
amar1272	0.23076923076923078	-0.9026336868732239
amar1274	0.23404255319148937	-0.8626316734474075
amas1236	0.20833333333333334	-1.1768141538960075
ambo1250	0.27450980392156865	-0.368096978055696
amdo1237	0.2708333333333333	-0.4130257100468249
amii1238	0.42	1.4098827092732251
amis1246	0.2391304347826087	-0.8004546308398884
amri1238	0.30952380952380953	0.05979570757409824
anci1242	0.3888888888888889	1.029685795001632
anci1244	0.3148148148148148	0.12445504673593383
anei1239	0.2830188679245283	-0.26411098200075767
anga1288	0.35294117647058826	0.5903826377550434
ango1257	0.3076923076923077	0.03741362863346292
anuf1239	0.18181818181818182	-1.5008456149229337
anut1237	0.34146341463414637	0.4501173281242036
anuu1241	0.24074074074074073	-0.7807757015297648
aona1235	0.36538461538461536	0.7424491152634776
aoua1234	0.23529411764705882	-0.8473367859610661
apat1240	0.4	1.1654704072414872
apin1244	0.3877551020408163	1.0158302223240958
apma1240	0.2037037037037037	-1.233391075662614
apma1241	0.2682926829268293	-0.44407402077240105
apur1254	0.34	0.43223350114627146
arak1252	0.22641509433962265	-0.9558439122792629
arao1248	0.5	2.3875319174001794
arap1274	0.3584905660377358	0.658199591703916
araw1273	0.32558139534883723	0.2560292834024599
araw1276	0.4318181818181818	1.5543081604737983
arbo1245	0.2692307692307692	-0.43261002911988083
area1240	0.3333333333333333	0.35076273380235806
aree1239	0.17647058823529413	-1.5661964978191205
argo1244	0.3148148148148148	0.12445504673593383
arhu1242	0.46808510638297873	1.9975122864984693
arom1237	0.3469387755102041	0.5170296059327927
arop1242	0.3111111111111111	0.07919350932264885
arop1243	0.20930232558139536	-1.1649724725960202
aros1241	0.325	0.24892427462246736
arta1239	0.32	0.18782119911453268
ashe1272	0.48148148148148145	2.1612242303337545
assi1247	0.34615384615384615	0.507437286386806
asur1254	0.22916666666666666	-0.9222180059462801
atam1240	0.28888888888888886	-0.19237571515706106
athp1241	0.3137254901960784	0.11114282984967339
atii1237	0.3684210526315789	0.7795562461387415
aton1241	0.3333333333333333	0.35076273380235806
aulu1238	0.2558139534883721	-0.5965717701966282
auuu1241	0.1702127659574468	-1.6426709352508286
auye1238	0.3269230769230769	0.27242545751013447
avac1239	0.20833333333333334	-1.1768141538960075
awac1239	0.1702127659574468	-1.6426709352508286
awad1243	0.25	-0.6676218579965524
awad1244	0.32608695652173914	0.2622075519068009
awap1236	0.38636363636363635	0.9988256558562104
awar1249	0.25	-0.6676218579965524
awet1244	0.34782608695652173	0.5278730975934731
axam1237	0.35185185185185186	0.577070420868783
axiy1235	0.22727272727272727	-0.9453631103053463
ayac1239	0.45454545454545453	1.8320494127825917
ayiw1239	0.3488372093023256	0.5402296346021558
baba1264	0.29545454545454547	-0.11213935337896455
baba1266	0.3170731707317073	0.15205354515866845
baba1267	0.18867924528301888	-1.4169991991315998
baba1268	0.34210526315789475	0.4579611118864543
babi1235	0.35294117647058826	0.5903826377550434
bafa1247	0.34146341463414637	0.4501173281242036
bafi1243	0.3137254901960784	0.11114282984967339
bafu1246	0.33962264150943394	0.4276219482777475
baga1272	0.2558139534883721	-0.5965717701966282
bagi1246	0.16666666666666666	-1.6860064497954632
bagv1239	0.43137254901960786	1.5488622535657828
baha1259	0.3	-0.05659110291720611
bahi1252	0.2916666666666667	-0.1584295620970968
baim1244	0.3018867924528302	-0.03353333857458927
baka1272	0.2608695652173913	-0.5347890851532163
baka1274	0.26666666666666666	-0.4639449396367703
baki1244	0.225	-0.9731372355362254
