"","model","sp_id","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"1","Phylogenetic",NA,NA,NA,NA,NA,NA,NA,NA
"2","Spatial: local",1,-0.05,0.31,-0.66,-0.05,0.57,-0.05,0
"3","Spatial: local",2,0.12,0.45,-0.77,0.12,1.01,0.12,0
"4","Spatial: local",3,-0.05,0.43,-0.88,-0.05,0.79,-0.05,0
"5","Spatial: local",4,-0.5,0.44,-1.37,-0.49,0.37,-0.49,0
"6","Spatial: local",5,-0.38,0.3,-0.96,-0.38,0.21,-0.38,0
"7","Spatial: local",6,-0.56,0.31,-1.18,-0.56,0.06,-0.56,0
"8","Spatial: local",7,-0.47,0.29,-1.04,-0.47,0.1,-0.47,0
"9","Spatial: local",8,-0.53,0.31,-1.15,-0.53,0.08,-0.53,0
"10","Spatial: local",9,-0.3,0.31,-0.9,-0.3,0.3,-0.3,0
"11","Spatial: local",10,-0.31,0.33,-0.95,-0.31,0.34,-0.31,0
"12","Spatial: local",11,-0.37,0.28,-0.91,-0.37,0.17,-0.37,0
"13","Spatial: local",12,-0.02,0.4,-0.81,-0.02,0.77,-0.02,0
"14","Spatial: local",13,0.5,0.44,-0.36,0.5,1.37,0.5,0
"15","Spatial: local",14,-0.41,0.28,-0.96,-0.41,0.13,-0.41,0
"16","Spatial: local",15,-0.41,0.29,-0.97,-0.41,0.16,-0.41,0
"17","Spatial: local",16,-0.33,0.28,-0.88,-0.33,0.23,-0.33,0
"18","Spatial: local",17,-0.18,0.34,-0.84,-0.18,0.48,-0.18,0
"19","Spatial: local",18,-0.14,0.32,-0.76,-0.14,0.48,-0.14,0
"20","Spatial: local",19,-0.59,0.29,-1.16,-0.59,-0.02,-0.59,0
"21","Spatial: local",20,-0.75,0.33,-1.4,-0.75,-0.12,-0.75,0
"22","Spatial: local",21,-0.64,0.3,-1.23,-0.64,-0.06,-0.64,0
"23","Spatial: local",22,-0.65,0.32,-1.29,-0.65,-0.02,-0.65,0
"24","Spatial: local",23,0.1,0.41,-0.7,0.1,0.91,0.1,0
"25","Spatial: local",24,0.16,0.32,-0.46,0.16,0.79,0.16,0
"26","Spatial: local",25,0.17,0.32,-0.46,0.17,0.81,0.17,0
"27","Spatial: local",26,0.1,0.31,-0.52,0.1,0.72,0.1,0
"28","Spatial: local",27,0.02,0.34,-0.66,0.02,0.69,0.02,0
"29","Spatial: local",28,0.27,0.32,-0.36,0.27,0.9,0.27,0
"30","Spatial: local",29,0.31,0.33,-0.33,0.31,0.95,0.31,0
"31","Spatial: local",30,0.23,0.32,-0.4,0.23,0.86,0.23,0
"32","Spatial: local",31,0.45,0.38,-0.3,0.45,1.19,0.45,0
"33","Spatial: local",32,0.3,0.35,-0.39,0.3,0.99,0.3,0
"34","Spatial: local",33,0.27,0.4,-0.51,0.27,1.05,0.27,0
"35","Spatial: local",34,0.31,0.36,-0.39,0.31,1.01,0.31,0
"36","Spatial: local",35,0.33,0.36,-0.38,0.33,1.03,0.33,0
"37","Spatial: local",36,0.37,0.31,-0.24,0.37,0.98,0.37,0
"38","Spatial: local",37,0.36,0.31,-0.26,0.36,0.97,0.36,0
"39","Spatial: local",38,0.49,0.32,-0.14,0.49,1.12,0.49,0
"40","Spatial: local",39,0.55,0.3,-0.04,0.55,1.15,0.55,0
"41","Spatial: local",40,0.53,0.29,-0.05,0.53,1.11,0.53,0
"42","Spatial: local",41,0.39,0.31,-0.22,0.39,1,0.39,0
"43","Spatial: local",42,0.42,0.29,-0.16,0.42,0.99,0.42,0
"44","Spatial: local",43,0.33,0.34,-0.33,0.33,1,0.33,0
"45","Spatial: local",44,0.23,0.41,-0.58,0.23,1.04,0.23,0
"46","Spatial: local",45,0.47,0.28,-0.09,0.47,1.03,0.47,0
"47","Spatial: local",46,0.44,0.34,-0.23,0.44,1.1,0.44,0
"48","Spatial: local",47,-0.26,0.35,-0.95,-0.26,0.42,-0.26,0
"49","Spatial: local",48,-0.3,0.35,-0.99,-0.3,0.39,-0.3,0
"50","Spatial: local",49,-0.15,0.4,-0.94,-0.15,0.64,-0.15,0
"51","Spatial: local",50,-0.52,0.29,-1.1,-0.52,0.05,-0.52,0
"52","Spatial: local",51,-0.66,0.26,-1.16,-0.66,-0.16,-0.66,0
"53","Spatial: local",52,-0.74,0.26,-1.25,-0.74,-0.23,-0.74,0
"54","Spatial: local",53,-0.67,0.31,-1.27,-0.67,-0.07,-0.67,0
"55","Spatial: local",54,-0.77,0.27,-1.29,-0.77,-0.24,-0.76,0
