"model","WAIC"
"Official",3713.84
"Education",3714.79
"Neighbours",3718.7
"L1 speakers (nonlinear)+L2 proportion (nonlinear)",3722.85
"L1_log10:L2 proportion (linear)",3723.47
"L1 speakers (nonlinear)",3723.58
"L2 proportion (nonlinear)",3723.94
"L1 speakers (linear)",3724.21
"L2 proportion (linear)",3724.24
"L1 speakers (linear)+L2 proportion (linear)",3726.04
