"model","WAIC"
"Phylogenetic+Spatial: local+L1 speakers (linear)",3106.16
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",3108.24
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",3108.24
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",3109.21
"Phylogenetic+Spatial: local+Neighbours",3126.32
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",3126.95
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",3127.07
"Phylogenetic+Spatial: local+L2 proportion (linear)",3127.78
"Phylogenetic+Spatial: local+Education",3128.83
"Phylogenetic+Spatial: local+Official",3129.84
