"model","WAIC"
"Phylogenetic+Spatial: local",3117.74
"Phylogenetic",3180.75
"Phylogenetic+Areal",3201.09
"Phylogenetic+Spatial: regional",3206.77
"Spatial: local",3271.29
"Spatial: regional",3290.79
"Areal",3419.55
