ISO_639,Name,Language_ID,92A,112A,26A,38A,57A,101A,70A,20A,28A,29A,39A,48A,49A,65A,66A,67A,77A,98A,100A,102A,22A,34A,36A,41A,59A,73A,74A,75A,76A,na_proportion
khk,Khalkha,halh1238,2,1,2,5,2,5,4,1,4,1,3,2,7,2,1,2,3,2,1,1,2,4,1,2,1,1,2,3,3,0
khm,Khmer,cent1989,2,NA,1,NA,4,NA,5,NA,1,1,3,2,1,2,4,2,1,1,1,1,NA,4,NA,NA,NA,2,2,NA,NA,0.3448275862068966
naq,Nama,nama1264,3,2,2,3,NA,1,5,7,1,2,5,2,2,1,2,2,1,2,2,3,4,NA,2,2,2,2,2,3,3,0.06896551724137931
kha,Khasi,khas1269,NA,4,1,5,4,1,NA,2,1,1,3,2,1,NA,NA,NA,1,2,2,2,3,NA,NA,3,1,NA,2,3,3,0.27586206896551724
kio,Kiowa,kiow1266,1,6,4,5,1,2,1,1,1,2,2,1,9,1,4,1,2,1,5,4,5,NA,NA,2,2,2,1,2,2,0.06896551724137931
kij,Kilivila,kili1267,6,2,5,5,2,2,5,NA,1,3,5,3,1,NA,NA,NA,1,1,2,5,NA,NA,NA,3,NA,2,1,2,3,0.27586206896551724
kjg,Khmu',khmu1256,2,NA,1,NA,4,5,5,NA,1,1,3,2,1,2,4,2,1,1,1,1,NA,NA,NA,NA,NA,2,2,3,3,0.27586206896551724
kan,Kannada,nucl1305,2,1,2,2,4,2,1,1,4,2,3,2,6,2,1,1,2,2,2,2,2,5,3,2,1,2,2,1,1,0
kun,Kunama,kuna1268,6,1,3,4,2,2,1,7,1,2,5,2,6,NA,NA,NA,1,2,2,5,NA,NA,NA,2,2,NA,2,NA,NA,0.3103448275862069
knc,Kanuri,cent2050,6,1,2,1,2,2,1,NA,1,3,3,2,6,1,1,1,1,2,2,5,NA,6,1,2,1,2,2,3,3,0.06896551724137931
cku,Koasati,koas1236,NA,1,4,NA,1,2,1,1,4,3,3,3,6,2,2,1,3,2,4,5,7,2,NA,5,2,2,1,2,2,0.10344827586206896
kpw,Kobon,kobo1249,2,1,2,1,1,2,1,NA,1,2,3,2,1,NA,NA,NA,1,1,2,2,NA,3,NA,2,2,2,1,3,3,0.20689655172413793
kor,Korean,kore1280,6,2,2,5,NA,5,4,1,1,1,3,2,6,1,1,2,2,2,1,1,4,NA,1,3,1,2,3,3,2,0.06896551724137931
kyh,Karok,karo1304,NA,6,4,NA,1,2,1,1,1,2,3,2,3,2,4,1,2,1,5,5,5,NA,NA,NA,1,2,NA,3,NA,0.2413793103448276
kgo,Krongo,kron1241,6,6,5,5,4,6,1,1,3,3,5,2,6,1,4,2,1,1,1,1,3,6,1,3,2,2,2,3,NA,0.034482758620689655
ses,Koyraboro Senni,koyr1242,5,2,1,4,4,1,1,NA,1,1,3,2,1,1,4,2,1,1,1,1,NA,NA,1,1,NA,2,2,NA,2,0.1724137931034483
kut,Kutenai,kute1249,1,2,3,4,2,4,1,1,1,3,3,1,1,2,4,1,1,1,2,5,3,3,4,3,1,2,3,3,3,0
eky,Kayah Li (Eastern),east2342,2,4,1,NA,4,5,5,NA,1,1,3,2,1,NA,NA,NA,3,1,1,1,NA,NA,3,2,NA,2,3,NA,NA,0.3448275862068966
lbj,Ladakhi,lada1244,6,1,2,3,NA,5,1,NA,4,1,5,2,5,NA,NA,NA,3,4,1,1,NA,NA,NA,NA,NA,1,1,2,3,0.3448275862068966
laj,Lango,lang1324,6,2,4,3,NA,2,1,3,1,2,3,3,1,1,4,2,1,1,2,5,4,3,4,3,2,2,2,3,2,0.034482758620689655
lav,Latvian,latv1249,1,1,3,2,4,1,3,NA,3,2,3,2,5,2,1,1,2,2,2,2,NA,6,NA,2,NA,2,2,1,1,0.13793103448275862
lvk,Lavukaleve,lavu1241,2,5,3,2,1,2,1,1,1,2,5,4,1,2,4,1,1,1,2,5,3,6,4,3,1,2,1,3,3,0
lep,Lepcha,lepc1244,2,6,1,2,4,1,4,NA,4,1,3,2,2,NA,NA,NA,1,2,1,1,NA,6,1,NA,NA,2,2,2,3,0.2413793103448276
lez,Lezgian,lezg1247,6,1,2,2,4,5,4,1,3,1,3,2,8,1,1,1,2,4,1,1,2,6,1,3,1,1,2,3,3,0
lkt,Lakhota,lako1247,2,2,5,1,1,2,5,7,1,3,3,3,1,2,4,2,2,1,4,5,6,NA,4,3,2,2,2,2,3,0.034482758620689655
lue,Luvale,luva1239,NA,6,6,5,2,2,1,1,1,2,3,2,1,2,2,1,1,1,2,5,5,6,1,NA,2,2,NA,3,NA,0.13793103448275862
plt,Malagasy,plat1254,5,2,1,4,4,1,4,1,1,3,5,3,1,1,4,2,1,2,1,1,3,NA,1,5,1,2,2,3,3,0.034482758620689655
mri,Maori,maor1246,6,4,1,1,4,5,5,7,1,1,5,2,1,2,1,2,1,2,1,1,NA,6,3,3,1,2,2,3,3,0.034482758620689655
arn,Mapudungun,mapu1245,NA,1,2,4,4,2,1,1,1,3,2,2,2,2,4,1,1,1,5,5,5,1,NA,3,1,2,2,2,2,0.06896551724137931
mrc,Maricopa,mari1440,6,6,4,4,1,2,1,1,4,3,2,1,6,2,4,1,3,3,2,5,5,2,NA,5,3,1,NA,2,NA,0.10344827586206896
mph,Maung,maun1240,1,2,5,NA,1,2,1,1,1,3,5,2,1,1,1,1,1,1,2,5,3,NA,NA,3,2,NA,1,NA,NA,0.20689655172413793
ayz,Maybrat,maib1239,2,2,6,4,1,5,5,1,1,3,3,4,2,2,4,2,1,1,2,2,1,1,NA,3,2,2,2,NA,NA,0.10344827586206896
mni,Meithei,mani1292,2,1,3,2,1,5,4,1,4,1,3,2,6,2,4,2,3,2,1,1,3,NA,2,2,1,1,NA,1,3,0.06896551724137931
zmr,Maranungku,mara1386,6,2,1,NA,2,2,5,NA,1,3,5,2,9,NA,NA,NA,1,1,2,5,NA,1,NA,NA,NA,2,2,3,3,0.3103448275862069
cmn,Mandarin,mand1415,2,2,2,NA,4,5,5,7,1,1,5,2,1,1,4,2,1,1,1,1,1,2,3,2,1,2,2,1,1,0.034482758620689655
vma,Martuthunira,mart1255,6,2,2,NA,2,5,4,1,3,1,5,1,8,2,1,1,2,2,1,1,2,NA,4,2,2,2,NA,3,NA,0.13793103448275862
skd,Miwok (Southern Sierra),sout2985,NA,2,2,NA,2,2,1,1,4,3,5,1,6,NA,NA,NA,2,2,2,5,3,NA,NA,2,1,2,1,2,2,0.2413793103448276
unr,Mundari,mund1320,2,NA,2,5,2,3,1,1,1,3,5,2,7,NA,NA,NA,1,1,2,5,4,NA,NA,NA,NA,1,2,3,3,0.27586206896551724
mig,Mixtec (Chalcatongo),sanm1296,6,2,6,5,4,6,4,1,1,3,4,3,1,1,4,1,1,1,2,2,3,4,4,2,1,2,2,2,3,0
mpc,Mangarrayi,mang1381,2,2,4,NA,2,2,1,1,2,3,5,1,7,2,1,2,2,2,2,5,4,NA,2,NA,2,2,1,2,3,0.10344827586206896
nav,Navajo,nava1243,5,2,6,NA,1,2,5,1,1,3,3,4,1,NA,NA,NA,2,1,2,5,NA,NA,NA,5,NA,2,1,2,2,0.27586206896551724
dgl,Nubian (Dongolese),dong1288,6,1,2,1,1,2,1,1,4,2,3,3,6,NA,NA,NA,1,2,2,2,NA,6,NA,2,2,2,3,NA,NA,0.2413793103448276
djk,Ndyuka,ndyu1242,6,4,1,2,4,1,5,NA,1,1,3,2,1,NA,NA,NA,1,1,1,1,NA,NA,3,2,NA,2,2,3,3,0.2413793103448276
nez,Nez Perce,nezp1238,1,2,4,NA,1,2,1,NA,4,3,3,1,8,NA,NA,NA,1,5,6,5,NA,NA,NA,2,1,2,1,3,3,0.27586206896551724
wyb,Ngiyambaa,wang1291,3,2,2,5,4,3,4,1,3,1,5,1,5,2,1,1,3,4,6,5,3,4,1,2,2,2,2,3,2,0
nhg,Nahuatl (Tetelcingo),tete1251,6,2,4,5,1,2,1,NA,1,3,3,4,1,NA,NA,NA,2,1,2,5,NA,NA,NA,NA,NA,2,3,3,3,0.3103448275862069
niv,Nivkh,gily1242,2,1,3,NA,1,5,1,1,4,2,5,3,7,2,4,1,2,1,1,1,5,4,1,2,NA,2,2,2,3,0.06896551724137931
cgg,Nkore-Kiga,chig1238,2,1,6,NA,NA,2,2,NA,1,2,3,3,1,NA,NA,NA,1,1,2,5,NA,NA,NA,3,NA,2,2,3,3,0.3448275862068966
niy,Ngiti,ngit1239,5,2,4,4,2,2,1,NA,1,2,5,3,1,NA,NA,NA,1,1,2,5,NA,3,NA,3,NA,2,NA,NA,NA,0.3448275862068966
yrk,Nenets,nene1249,NA,3,2,NA,2,2,2,1,3,2,3,3,6,2,1,1,3,2,2,2,2,NA,NA,NA,1,2,2,NA,2,0.20689655172413793
nuy,Nunggubuyu,nung1290,5,2,4,5,NA,2,5,NA,4,2,5,1,8,NA,NA,NA,1,1,5,5,NA,NA,2,3,2,2,1,3,3,0.2413793103448276
one,Oneida,onei1249,3,2,5,4,1,2,4,1,NA,3,2,1,1,1,4,1,2,NA,4,5,5,NA,4,2,1,2,2,2,2,0.10344827586206896
hae,Oromo (Harar),east2652,6,6,2,5,4,2,1,1,2,2,3,2,6,1,1,2,1,3,2,2,4,2,NA,2,2,2,2,1,2,0.034482758620689655
ote,Otomí (Mezquital),mezq1235,1,2,5,NA,NA,2,1,1,1,NA,NA,2,NA,NA,NA,NA,2,1,2,5,5,NA,4,NA,1,2,2,3,3,0.3448275862068966
pwn,Paiwan,paiw1248,6,2,4,NA,NA,2,4,7,4,3,5,2,1,2,4,2,2,NA,1,1,3,NA,NA,2,1,2,1,2,3,0.1724137931034483
pad,Paumarí,paum1247,6,5,4,5,3,2,1,NA,2,3,3,2,3,NA,NA,NA,2,4,6,2,NA,NA,3,3,2,2,2,3,3,0.20689655172413793
pma,Paamese,paam1238,6,1,5,4,2,2,1,NA,1,3,5,3,1,NA,NA,NA,1,1,2,5,NA,NA,NA,NA,3,2,NA,2,NA,0.3448275862068966
myp,Pirahã,pira1253,2,1,2,5,NA,NA,5,1,1,1,1,2,9,1,4,2,3,1,2,5,5,1,NA,2,1,2,NA,2,NA,0.1724137931034483
pes,Persian,west2369,1,1,3,NA,4,2,2,1,1,3,3,3,2,1,1,2,3,2,2,5,3,NA,3,2,1,2,2,3,2,0.06896551724137931
pom,Pomo (Southeastern),sout2982,6,6,2,5,NA,1,4,1,4,1,3,2,6,NA,NA,NA,3,2,1,1,3,NA,NA,NA,3,1,1,2,3,0.2413793103448276
qvi,Quechua (Imbabura),imba1240,2,2,2,5,4,2,1,1,4,3,3,2,7,2,1,1,3,2,2,5,5,6,4,NA,1,2,2,2,3,0.034482758620689655
rma,Rama,rama1270,NA,2,4,1,1,2,1,1,1,1,3,3,7,2,1,1,1,1,2,2,2,3,NA,2,2,2,NA,NA,NA,0.1724137931034483
rap,Rapanui,rapa1244,1,4,1,2,NA,5,5,2,1,1,5,2,1,2,1,2,1,1,1,1,5,4,3,3,2,2,2,3,2,0.034482758620689655
rus,Russian,russ1263,3,2,2,5,4,1,1,1,3,3,3,2,6,1,1,2,1,2,2,2,3,6,4,2,1,2,2,1,1,0
sag,Sango,sang1328,2,2,6,NA,4,2,5,1,1,3,3,2,1,2,4,2,1,1,1,1,1,NA,1,NA,1,NA,2,3,2,0.13793103448275862
shp,Shipibo-Konibo,ship1254,3,1,2,5,4,NA,1,1,1,1,3,2,6,NA,NA,NA,2,4,1,1,4,4,NA,NA,NA,2,2,2,3,0.2413793103448276
den,Slave,slav1253,1,2,6,5,1,2,5,1,1,3,3,3,1,1,2,1,2,1,2,5,5,NA,3,2,3,2,3,3,3,0.034482758620689655
xsu,Sanuma,sanu1240,6,3,1,NA,4,1,5,1,1,1,5,2,2,2,2,2,3,4,1,1,3,NA,NA,3,2,2,2,3,3,0.10344827586206896
