ISO_639,Name,Language_ID,92A,112A,26A,38A,57A,101A,70A,20A,28A,29A,39A,48A,49A,65A,66A,67A,77A,98A,100A,102A,22A,34A,36A,41A,59A,73A,74A,75A,76A,na_proportion
bgr,Bawm,bawm1236,2,4,1,5,4,4,5,NA,4,3,3,2,4,NA,NA,NA,1,4,2,5,NA,4,NA,NA,NA,2,2,NA,2,0.3103448275862069
bej,Beja,beja1238,6,1,3,NA,2,2,1,6,1,2,3,2,2,1,1,2,2,NA,2,5,3,NA,NA,NA,1,NA,2,3,NA,0.2413793103448276
btx,Batak (Karo),bata1293,3,4,2,4,2,6,4,NA,1,3,5,2,1,NA,NA,NA,1,1,2,3,NA,NA,NA,NA,NA,2,1,3,3,0.3103448275862069
tzm,Berber (Middle Atlas),cent2194,1,2,4,NA,2,2,1,6,1,3,3,3,2,1,4,2,NA,3,2,5,4,NA,NA,NA,2,2,2,NA,NA,0.2413793103448276
brh,Brahui,brah1256,NA,1,2,NA,2,2,1,1,4,3,3,2,8,1,1,2,1,2,2,2,2,6,2,NA,1,2,1,2,3,0.10344827586206896
mya,Burmese,nucl1310,6,6,2,5,NA,5,5,1,1,1,2,2,7,2,4,2,1,2,1,1,2,NA,1,2,1,2,3,3,2,0.06896551724137931
bsn,Barasano,bara1380,6,1,2,NA,4,2,4,1,1,3,5,2,2,2,2,2,3,2,2,2,3,6,3,3,2,2,2,3,3,0.034482758620689655
eus,Basque,basq1248,4,2,4,2,4,2,1,1,2,3,3,2,8,1,1,1,2,6,3,5,3,6,3,3,1,2,1,2,1,0
bsk,Burushaski,buru1296,6,1,3,NA,1,2,1,1,3,2,3,3,7,1,1,1,1,4,6,5,5,6,NA,2,3,2,NA,2,NA,0.13793103448275862
cha,Chamorro,cham1312,1,2,1,NA,2,NA,NA,7,1,3,5,3,1,1,4,2,2,1,3,2,4,2,1,3,1,2,1,3,2,0.10344827586206896
ckt,Chukchi,chuk1273,6,2,3,5,4,2,5,1,3,2,3,2,8,1,4,1,1,4,6,5,3,6,1,3,1,2,3,3,3,0
cle,Chinantec (Lealao),leal1235,1,2,1,5,3,2,1,NA,1,2,5,3,1,NA,NA,NA,1,1,2,2,NA,NA,NA,3,NA,1,2,NA,NA,0.3448275862068966
com,Comanche,coma1245,3,2,2,4,4,3,1,NA,3,1,5,2,3,NA,NA,NA,2,2,2,5,NA,3,1,3,NA,2,NA,2,NA,0.27586206896551724
ram,Canela,ramk1239,1,2,1,5,1,NA,4,1,1,2,4,3,1,2,2,2,1,1,3,3,3,NA,NA,2,1,NA,NA,3,NA,0.20689655172413793
csz,Coos (Hanis),coos1249,2,2,3,4,4,2,1,1,1,3,5,1,7,NA,NA,NA,2,4,2,5,NA,3,NA,2,NA,2,NA,3,2,0.2413793103448276
crk,Cree (Plains),plai1258,3,2,4,NA,1,3,1,7,1,3,5,1,9,2,4,2,NA,NA,5,5,4,6,3,3,1,2,2,2,3,0.10344827586206896
cyb,Cayuvava,cayu1262,NA,1,5,NA,3,2,1,1,1,2,5,1,9,NA,NA,NA,1,1,6,5,4,NA,NA,NA,4,NA,2,2,3,0.3103448275862069
dgz,Daga,daga1275,NA,2,2,5,2,2,1,1,1,2,3,2,9,2,1,1,1,1,2,5,5,NA,NA,NA,2,NA,1,2,3,0.1724137931034483
dyo,Diola-Fogny,jola1263,6,1,4,1,2,2,5,NA,1,2,5,2,1,2,4,1,1,1,2,5,NA,NA,NA,NA,NA,2,1,NA,NA,0.27586206896551724
dni,Dani (Lower Grand Valley),lowe1415,6,2,2,5,1,2,1,1,1,2,3,3,6,1,2,1,2,4,2,5,4,NA,1,NA,2,2,1,2,2,0.06896551724137931
dhv,Drehu,dehu1237,1,4,1,NA,2,1,5,NA,1,1,5,2,1,NA,NA,NA,1,6,1,1,NA,NA,NA,2,2,2,2,3,3,0.27586206896551724
eng,English,stan1293,6,2,2,1,4,1,5,1,2,2,3,2,2,2,1,2,1,1,2,2,2,6,4,2,1,2,2,1,1,0
