"model","WAIC"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1851.2
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1851.46
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1852.73
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1853.21
"Phylogenetic+Spatial: local+Neighbours",1874.51
"Phylogenetic+Spatial: local+Official",1878
"Phylogenetic+Spatial: local+L2 proportion (linear)",1879.37
"Phylogenetic+Spatial: local+Education",1879.43
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",1879.9
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1880.14
