"","model","x for sp_id","y for sp_id"
"1","Phylogenetic",NA,NA
"2","Spatial: local",1.22135357976714,0.000497259193776344
"3","Spatial: local",1.26808842987531,0.00433100728124595
"4","Spatial: local",1.32420572996762,0.0361587854056491
"5","Spatial: local",1.39553841798674,0.276628198501786
"6","Spatial: local",1.4312516862794,0.597585305109821
"7","Spatial: local",1.4625804466725,1.03733769236516
"8","Spatial: local",1.49957068656933,1.73060674589699
"9","Spatial: local",1.52514314319749,2.26902546207538
"10","Spatial: local",1.54569881574119,2.69259529283238
"11","Spatial: local",1.56357271718832,3.02509137319911
"12","Spatial: local",1.5798423892408,3.27928413917606
"13","Spatial: local",1.59503227764911,3.46202873544266
"14","Spatial: local",1.6023698274652,3.52869292258802
"15","Spatial: local",1.60957647307052,3.57950511543699
"16","Spatial: local",1.61670422217386,3.61502361537651
"17","Spatial: local",1.62379436061517,3.63557714492545
"18","Spatial: local",1.62662269692744,3.63964704962749
"19","Spatial: local",1.62944781600705,3.64136639374092
"20","Spatial: local",1.6308594153643,3.64134984966545
"21","Spatial: local",1.6322705050416,3.64075217933944
"22","Spatial: local",1.63509154367031,3.63782316279406
"23","Spatial: local",1.63791171730045,3.63259978311152
"24","Spatial: local",1.6407373216901,3.62508723985593
"25","Spatial: local",1.64357365516789,3.61527864537156
"26","Spatial: local",1.64499610256763,3.60951373491732
"27","Spatial: local",1.6464215434599,3.6031755408127
"28","Spatial: local",1.64928183219415,3.58878141040357
"29","Spatial: local",1.65215538611768,3.57210171194084
"30","Spatial: local",1.65940314378187,3.52045729862852
"31","Spatial: local",1.66675365400301,3.45475550170656
"32","Spatial: local",1.67425462161048,3.37488152215705
"33","Spatial: local",1.6819619990567,3.28051146381074
"34","Spatial: local",1.6981462598296,3.04785454235454
"35","Spatial: local",1.71583445961146,2.75348810821187
"36","Spatial: local",1.73569639830374,2.39478016344422
"37","Spatial: local",1.75912162432859,1.96441811493841
"38","Spatial: local",1.78916156035147,1.44826377450323
"39","Spatial: local",1.83448611965665,0.825632165986646
"40","Spatial: local",1.87470425629697,0.455456446069624
"41","Spatial: local",1.92276395930929,0.200433398812342
"42","Spatial: local",2.02654646907407,0.0235815876209666
"43","Spatial: local",2.11640575593639,0.00258987084491769
"44","Spatial: local",2.19754833494914,0.000275842381361485
"45","Spatial: regional",0.435355393262283,0.000581349748500242
"46","Spatial: regional",0.47641241543348,0.00480467347761185
"47","Spatial: regional",0.528583934376145,0.0377407216231126
"48","Spatial: regional",0.599519196284863,0.268096980084264
"49","Spatial: regional",0.637026710134844,0.558933842023043
"50","Spatial: regional",0.6710570851776,0.941279183814753
"51","Spatial: regional",0.712559439844871,1.51543996192671
"52","Spatial: regional",0.742131164183209,1.93951330096859
"53","Spatial: regional",0.766414725144645,2.25753400528014
"54","Spatial: regional",0.787926886961549,2.49442338216675
"55","Spatial: regional",0.807810918421392,2.66330305311167
"56","Spatial: regional",0.826655426071196,2.77223448693435
"57","Spatial: regional",0.835851536167159,2.80634055723959
"58","Spatial: regional",0.84494460492382,2.82761726310487
"59","Spatial: regional",0.854004691228285,2.83661751565769
"60","Spatial: regional",0.863072913846264,2.83375537235069
"61","Spatial: regional",0.866706151034799,2.82937722363449
"62","Spatial: regional",0.870344370454187,2.82319218657721
"63","Spatial: regional",0.872165679269556,2.81943095741224
"64","Spatial: regional",0.873988630734751,2.81522877115228
"65","Spatial: regional",0.877639991605349,2.80551641902407
"66","Spatial: regional",0.881300676881715,2.79408156634577
"67","Spatial: regional",0.884981447566867,2.7809170082831
"68","Spatial: regional",0.888685571729615,2.76603130437807
"69","Spatial: regional",0.890546744303509,2.75794808551886
"70","Spatial: regional",0.892414183390172,2.74944084858888
"71","Spatial: regional",0.896168453182257,2.73116357956666
"72","Spatial: regional",0.899949587262792,2.71121898611713
"73","Spatial: regional",0.909528175659892,2.65420506376131
"74","Spatial: regional",0.919303982699601,2.58727068721233
"75","Spatial: regional",0.929354521759011,2.51037654758572
"76","Spatial: regional",0.939750675820574,2.42342419220612
"77","Spatial: regional",0.961808645818643,2.21966231368496
"78","Spatial: regional",0.98628133815897,1.97474092515986
"79","Spatial: regional",1.01419576712976,1.68875745916761
"80","Spatial: regional",1.04774336025104,1.35833116895344
"81","Spatial: regional",1.09170853207174,0.977143627062088
"82","Spatial: regional",1.16013022326947,0.537177229534402
"83","Spatial: regional",1.22289043628013,0.287276223342018
"84","Spatial: regional",1.30048883792595,0.121926221865905
"85","Spatial: regional",1.47788745796122,0.0132936846609823
"86","Spatial: regional",1.6423686133839,0.00137198949046181
"87","Spatial: regional",1.79974416897014,0.000138522700801033
"88","Areal",NA,NA
"89","Phylogenetic+Spatial: local",3.71123496917631,6.21953665878102e-05
"90","Phylogenetic+Spatial: local",4.09685721637763,0.000508823947943929
"91","Phylogenetic+Spatial: local",4.59083355851096,0.00393652507772666
"92","Phylogenetic+Spatial: local",5.27383780059092,0.0276941740875258
"93","Phylogenetic+Spatial: local",5.63736862507946,0.0572335881968623
"94","Phylogenetic+Spatial: local",5.97178144741238,0.0959602765519347
"95","Phylogenetic+Spatial: local",6.38107421865503,0.15314223113654
"96","Phylogenetic+Spatial: local",6.67508160386944,0.19469271646799
"97","Phylogenetic+Spatial: local",6.91795039035319,0.225254503567354
"98","Phylogenetic+Spatial: local",7.13505223458802,0.247510640453465
"99","Phylogenetic+Spatial: local",7.33625024802086,0.262693734730244
"100","Phylogenetic+Spatial: local",7.52833217465265,0.271761737832295
"101","Phylogenetic+Spatial: local",7.62237801919063,0.274192644976395
