"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.0001...1",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0002...2",0.01,0.03,-0.04,0.01,0.06,0.01,"L1 speakers (linear)"
"fitted.Predictor.0003...3",-0.08,0.06,-0.2,-0.08,0.04,-0.08,"L1 speakers (linear)"
"fitted.Predictor.0004...4",0.04,0.03,-0.02,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0005...5",0.02,0.03,-0.03,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0006...6",-0.02,0.03,-0.09,-0.02,0.04,-0.02,"L1 speakers (linear)"
"fitted.Predictor.0007...7",0.02,0.03,-0.04,0.02,0.07,0.02,"L1 speakers (linear)"
"fitted.Predictor.0008...8",0.01,0.03,-0.05,0.01,0.06,0.01,"L1 speakers (linear)"
"fitted.Predictor.0009...9",0,0.03,-0.06,0,0.05,0,"L1 speakers (linear)"
"fitted.Predictor.0010...10",0.01,0.03,-0.04,0.01,0.07,0.01,"L1 speakers (linear)"
"fitted.Predictor.0011...11",0.01,0.03,-0.04,0.01,0.07,0.01,"L1 speakers (linear)"
"fitted.Predictor.0012...12",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0013...13",-0.01,0.03,-0.08,-0.01,0.05,-0.01,"L1 speakers (linear)"
"fitted.Predictor.0014...14",0,0.03,-0.05,0,0.06,0,"L1 speakers (linear)"
"fitted.Predictor.0015...15",0,0.03,-0.06,0,0.05,0,"L1 speakers (linear)"
"fitted.Predictor.0016...16",-0.03,0.04,-0.1,-0.03,0.04,-0.03,"L1 speakers (linear)"
"fitted.Predictor.0017...17",0.01,0.03,-0.05,0.01,0.06,0.01,"L1 speakers (linear)"
"fitted.Predictor.0018...18",-0.04,0.04,-0.12,-0.04,0.04,-0.04,"L1 speakers (linear)"
"fitted.Predictor.0019...19",-0.02,0.03,-0.09,-0.02,0.05,-0.02,"L1 speakers (linear)"
"fitted.Predictor.0020...20",-0.01,0.03,-0.08,-0.01,0.05,-0.01,"L1 speakers (linear)"
"fitted.Predictor.0021...21",-0.01,0.03,-0.07,-0.01,0.05,-0.01,"L1 speakers (linear)"
"fitted.Predictor.0022...22",-0.01,0.03,-0.08,-0.01,0.05,-0.01,"L1 speakers (linear)"
"fitted.Predictor.0023...23",-0.01,0.03,-0.08,-0.01,0.05,-0.01,"L1 speakers (linear)"
"fitted.Predictor.0024...24",-0.04,0.04,-0.12,-0.04,0.04,-0.04,"L1 speakers (linear)"
"fitted.Predictor.0025...25",-0.02,0.04,-0.09,-0.02,0.04,-0.02,"L1 speakers (linear)"
"fitted.Predictor.0026...26",0.01,0.03,-0.05,0.01,0.06,0.01,"L1 speakers (linear)"
