"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.1063...7523",0.01,0.04,-0.07,0.01,0.09,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1064...7524",0.02,0.04,-0.06,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1065...7525",0.01,0.05,-0.09,0.01,0.11,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1066...7526",0.1,0.09,-0.08,0.1,0.28,0.1,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1067...7527",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1068...7528",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1069...7529",0.04,0.03,-0.02,0.04,0.1,0.04,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1070...7530",0.07,0.06,-0.06,0.07,0.19,0.07,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1071...7531",0.04,0.04,-0.05,0.04,0.12,0.04,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1072...7532",0.02,0.05,-0.08,0.02,0.12,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1073...7533",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1074...7534",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1075...7535",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1076...7536",0.02,0.03,-0.05,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1077...7537",0.03,0.04,-0.04,0.03,0.1,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1078...7538",0.18,0.2,-0.21,0.18,0.58,0.18,"L1 speakers (linear)+L2 proportion (linear)"
