"model","WAIC"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1835.88
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1836.35
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1837.83
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1839.45
"Phylogenetic+Spatial: local+Neighbours",1860.28
"Phylogenetic+Spatial: local+Official",1863.88
"Phylogenetic+Spatial: local+Education",1864.34
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1864.5
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",1865.45
"Phylogenetic+Spatial: local+L2 proportion (linear)",1866.35
