lang,langFamily,silCode,walsCode,logpop2,roundComp
Tinrin,Austronesian,CIR,tin,2.4216,-10
Tongan,Austronesian,TOV,tng,5.02251,-14
Kalkatungu,Australian,KTG,kgu,1.69897,0
Drehu,Austronesian,DEU,dre,4.05454,-17
Martuthunira,Australian,VMA,mrt,1.69897,-7
Cèmuhî,Austronesian,CAM,cem,3.31197,-9
Herero,Niger-Congo,HER,her,5.12385,-8
Biri,Australian,BZR,bii,1.69897,-6
Iaai,Austronesian,IAI,iaa,3.19368,-15
Mauritian Creole,Creoles and Pidgins,MFE,mcr,5.78104,-8
Ayoreo,Zamucoan,AYO,ayr,3.57646,0
Nelemwa,Austronesian,NEE,nel,2.97635,-6
Anejom,Austronesian,ATY,anj,2.77815,-5
Kadiwéu,Guaicuruan,KBC,kdw,3.07918,-4
Terena,Arawakan,TEA,trn,4.17609,0
Kwamera,Austronesian,TNK,kwr,3.39794,0
Futuna-Aniwa,Austronesian,FUT,fut,2.77815,-10
Walmatjari,Australian,WMT,wlm,3,0
Lenakel,Austronesian,TNL,len,3.81291,-3
Niuean,Austronesian,NIQ,niu,3.89988,-14
Ju|'hoan,Khoisan,KTZ,juh,3.69897,-14
Ngawun,Australian,NXN,ngw,1.69897,0
Nyawaygi,Australian,NYT,nya,1.69897,-5
//Ani,Khoisan,HNH,ani,3,-7
Erromangan,Austronesian,ERG,err,3.13098,-6
Djaru,Australian,DDJ,djr,2.39794,-4
Wambaya,Australian,WMB,wam,1.69897,-8
Ura,Austronesian,UUR,ura,1.69897,-4
Warrgamay,Australian,WGY,wrg,1.69897,-3
Gooniyandi,Australian,GNI,goo,2,-7
Ndonga,Niger-Congo,NDG,ndo,5.84025,-5
Kwangali,Niger-Congo,KWN,kwn,4.92416,-3
Shona,Niger-Congo,SHD,shn,7.02956,-6
Sena,Niger-Congo,SEH,sen,5.94279,0
Nyigina,Australian,NYH,nyn,1.69897,0
Lozi,Niger-Congo,LOZ,loz,5.75603,-7
Dyirbal,Australian,DBL,dyi,1.69897,-3
Fijian,Austronesian,FJI,fij,5.52383,-11
Subiya,Niger-Congo,SBS,sub,4.62309,0
Bunuba,Australian,BCK,bnb,1.69897,0
Tahitian,Austronesian,THT,tah,5.09434,-5
Gurindji,Australian,GUE,gji,2.39794,0
Quechua (Cochabamba),Quechuan,dQUH,qco,6.5608,-4
Mbalanhu,Niger-Congo,LNB,mhu,1.699,0
Yukulta,Australian,GCD,yuk,1.69897,-5
Garrwa,Australian,GBC,grr,2.30103,-4
Kayardild,Australian,GYD,kay,1.69897,-9
Aymara,Aymaran,AYM/ AYC,aym,6.34785,-4
Guató,Macro-Ge,GTA,gto,1.69897,0
Nyulnyul,Australian,NYV,nyu,1.69897,-3
Yidiny,Australian,YII,yid,1.69897,-12
Nguna,Austronesian,dLLP,ngu,3.47712,0
Lewo,Austronesian,LWW,lew,2.87506,-6
Ekoti,Niger-Congo,EKO,eko,4.80754,0
Paamese,Austronesian,PMA,pms,3.77815,-6
Yanyuwa,Australian,JAO,yny,1.8451,0
Ungarinjin,Australian,UNG,ung,1.91381,-4
Bororo,Macro-Ge,BOR,brr,2.92942,-3
Bilinara,Australian,dNBJ,bnr,2.23045,0
Kuku-Yalanji,Australian,GVN,kya,2.8451,-3
Mae,Austronesian,MME,mae,2.87506,-13
Atchin,Austronesian,UPV,atc,3.77815,-4
Worora,Australian,UNP,wor,1.69897,-3
Miriwung,Australian,MEP,mir,1.69897,0
Araki,Austronesian,AKR,ark,1.69897,-6
Sirionó,Tupian,SRQ,srn,2.60097,-3
Wardaman,Australian,WRR,wrd,1.69897,-5
Ignaciano,Arawakan,IGN,ign,3.65321,-6
Alawa,Australian,ALH,alw,1.69897,-2
Xavante,Macro-Ge,XAV,xav,4,-3
Makua,Niger-Congo,VMW,mua,6.39794,0
Mara,Australian,MEC,mra,1.69897,-3
Guugu Yimidhirr,Australian,KKY,guu,1.69897,-8
Kriol (Ngukurr),Creoles and Pidgins,dROP,knq,4,0
Murrinh-Patha,Australian,MWF,mpa,2.95424,0
Mangarrayi,Australian,MPC,myi,1.69897,-5
Thaayorre,Australian,THD,thy,2.17609,-8
Nsenga,Niger-Congo,NSE,nse,5.76649,0
Yao (in Malawi),Niger-Congo,YAO,yao,6.28825,0
Kugu Nganhcara,Australian,UWA,knc,1.69897,-8
Futuna (East),Austronesian,FUD,fue,3.81954,-8
Gunin,Australian,GWW,gnn,1.69897,0
Ngalakan,Australian,NIG,ngl,1.69897,-10
Parecis,Arawakan,PAB,prc,3.07918,0
Lucazi,Niger-Congo,LCH,luc,5.32098,0
Ngankikurungkurr,Australian,NAM,ngk,2.43933,0
Wagiman,Australian,WAQ,wag,1.69897,0
Samoan,Austronesian,SMY,sam,5.5686,-11
Wik Munkan,Australian,WIM,wmu,2.60206,0
Movima,Movima,MZP,mov,3.16197,-5
Marrithiyel,Australian,MFR,mrh,1.69897,0
Nunggubuyu,Australian,NUY,nug,2.47712,-8
Maranungku,Australian,ZMR,mku,1.69897,-12
Mwotlap,Austronesian,MLV,mwo,3.10551,-8
Tacana,Tacanan,TNA,tac,3.26031,-8
Cayuvava,Cayuvava,CAT,cyv,1.69897,-5
Malakmalak,Australian,MPB,mlk,1.69897,0
Cavineña,Tacanan,CAV,cav,3.07188,-10
Wallisian,Austronesian,WAL,wll,4.47375,-6
Bachamal,Australian,WDJ,bac,1.69897,0
Waray (in Australia),Australian,WRZ,wry,1.69897,0
Baure,Arawakan,BRG,baq,1.69897,-3
Iranxe,Arawakan,IRA,irx,2.28103,0
Lamba,Niger-Congo,LAB,lmb,5.33041,0
Tyeraity,Australian,WOA,tye,1.69897,0
Djapu,Australian,dDUJ,djp,2.69897,-10
Gaagudju,Australian,GBU,gaa,1.69897,0
Kuuku Ya'u,Australian,QKL,kuu,2,0
Waurá,Arawakan,WAU,wur,2.38021,0
Limilngan,Australian,LMC,lml,1.69897,0
Bininj Gun-Wok,Australian,GUP,bbw,3.17926,-3
Rotuman,Austronesian,RTM,rot,3.95424,-4
Araona,Tacanan,ARO,ana,1.90849,-11
Jabutí,Jabutí,JBT,jbt,1.69897,0
Burarra,Australian,BVR,bua,2.60206,0
Chácobo,Panoan,CAO,cbo,2.74036,-4
Ndjébbana,Australian,DJJ,ndj,2,-3
Djambarrpuyngu,Australian,DJR,djm,2.65321,0
Nakkara,Australian,NCK,nkk,1.87506,0
Campa (Axininca),Arawakan,CNI,cax,4.37566,-7
Machiguenga,Arawakan,MCB,mch,4.00642,-5
Trumai,Trumai,TPY,tru,1.89209,-10
Kamaiurá,Tupian,KAY,kma,2.4456,-3
Luvale,Niger-Congo,LUE,luv,5.82543,-9
Gunbalang,Australian,WLG,gnb,1.69897,0
Maung,Australian,MPH,mau,2.30103,-4
Uradhi,Australian,URF,uhi,1.69897,-11
Rikbaktsa,Macro-Ge,ART,rik,2.90309,0
Buma,Austronesian,TKW,bum,1.69897,-4
Sawu,Austronesian,HVN,saw,5.04139,-8
Tiwi,Australian,TIW,tiw,3.17609,-10
Iwaidja,Australian,IBD,iwa,2.17609,0
Sudest,Austronesian,TGO,sud,3.30103,0
Quechua (Tarma),Quechuan,QJU,qta,4.77815,0
Yelî Dnye,Yele,YLE,yel,3.57403,-4
Wari',Chapacura-Wanhan,PAV,war,3.26316,-13
Piro,Arawakan,PIB,pir,3.60206,-4
Sharanahua,Panoan,MCD,shh,2.97772,0
Ese Ejja,Tacanan,ESE,ese,3.24846,-8
Ngoni,Niger-Congo,NGU,ngo,5.31175,-3
Makonde,Niger-Congo,KDE,mkd,6.13778,0
Gavião,Tupian,GVO,gav,2.67394,0
Lunda,Niger-Congo,LVN,lbu,5.60206,-3
Saliba,Austronesian,SBE,slb,3.36173,-5
Amuesha,Arawakan,AME,amu,3.9926,-4
Amahuaca,Panoan,AMC,amc,2.49136,-3
Cashinahua,Panoan,CBS,csh,3.30103,-8
Karó (Arára),Tupian,ARR,kaa,2.17609,-6
Magi,Trans-New Guinea,MGU,mgi,3.77815,0
Tawala,Austronesian,TBO,taw,4.30103,-3
Arosi,Austronesian,AIA,aro,3.8293,-9
Broken,Creoles and Pidgins,TCS,bro,4.36922,-10
Javaé,Macro-Ge,dKPJ,jva,3.23045,0
Bemba,Niger-Congo,BMY,bem,5.47097,-7
Nyiha,Niger-Congo,NIH,nyh,5.79657,0
Pangwa,Niger-Congo,PBR,png,4.97772,0
Daga,Dagan,DGZ,dag,3.77815,-7
Kambera,Austronesian,SMI,kam,5.37028,-8
Gapapaiwa,Austronesian,PWG,gap,3.37712,0
Longgu,Austronesian,LGU,lgu,3.27738,-9
Sa'a,Austronesian,APB,saa,4.06141,-8
Minaveha,Austronesian,MVN,mnv,3.30103,0
Karitiâna,Tupian,KTN,kna,2.30103,-5
Tok Pisin,Creoles and Pidgins,PDG,tpi,5.08279,-4
Koiari,Trans-New Guinea,KBK,koi,3.23045,0
Maisin,Austronesian,MBQ,msn,3.41697,-5
Motu,Austronesian,MEU,mtu,4.14613,-6
Iduna,Austronesian,VIV,idn,3.77815,0
Gumawana,Austronesian,GVS,gmw,2.67117,-5
Mambwe,Niger-Congo,MGR,mmw,5.55606,0
Lavukaleve,Solomons East Papuan,LVK,lav,3.25115,-8
Gela,Austronesian,NLG,gel,4.07467,-4
Ömie,Trans-New Guinea,AOM,omi,2.90309,-7
Tokelauan,Austronesian,TOK,tke,3.51081,-4
Apurinã,Arawakan,APU,apu,3.30103,-7
Kayapó,Macro-Ge,TXU,kyp,3.60206,0
Tetun,Austronesian,TTM,ttn,5.65321,-13
Kwaio,Austronesian,KWD,kwa,4.12218,-11
Ala'ala,Austronesian,NRZ,all,2.9952,0
Ngad'a,Austronesian,NXG,ngd,4.77815,-13
Kanum (Bädi),Morehead and Upper Maro Rivers,KHD,knb,1.69897,0
Moraori,Morehead and Upper Maro Rivers,MOK,mri,1.69897,0
Cashibo,Panoan,dCBR,cas,3.69897,0
Matuumbi,Niger-Congo,MGW,mtb,4.85733,-4
Manggarai,Austronesian,MQY,mng,5.69897,-7
Kilivila,Austronesian,KIJ,klv,4.30103,-6
Tuvaluan,Austronesian,ELL,tvl,4.11564,-3
Toqabaqita,Austronesian,MLU,toq,4.0994,-5
Balinese,Austronesian,BZC,bal,6.59106,-5
Mekeo,Austronesian,MEK,mke,4.27875,0
Lamaholot,Austronesian,SLP,lmh,5.17609,0
Woisika,Trans-New Guinea,WOI,woi,4.21806,0
Mombum,Mombum,MSO,mom,2.39794,0
Binandere,Trans-New Guinea,BHG,bin,3.83897,-8
Roviana,Austronesian,RUG,rov,3.99436,-4
Leti,Austronesian,LTI,let,3.87506,0
Cholon,Cholon,CHT,cln,1.69897,0
Hehe,Niger-Congo,HEH,heh,5.87506,0
Kimaghama,Kolopom,KIG,kim,3.47712,-15
Kiwai,Kiwaian,KIW/ KJD,kiw,3.98677,-6
Kaki Ae,Eleman,TBD,kae,2.70927,0
Kunimaipa,Trans-New Guinea,KUP,kmp,4.04139,-6
Kokota,Austronesian,KKK,kkt,2.72428,-9
Yei,Morehead and Upper Maro Rivers,JEI,yei,2.95424,0
Marind,Marind,MRZ,mrd,3.8451,-5
Suena,Trans-New Guinea,SUE,sue,3.47712,-11
Bilua,Solomons East Papuan,BLB,bil,3.94151,-6
Tugun,Austronesian,TZN,tgn,3.07918,-5
Yelmek,Bulaka River,JEL,ylm,2.60206,0
Maklew,Bulaka River,MGF,mkl,2.07918,0
Shipibo-Konibo,Panoan,SHP,shk,4.41497,-10
Jamamadi,Arauan,JAA,jmm,2.29003,0
Hamtai,Trans-New Guinea,HMT,ham,4.65321,-5
Rumu,Turama-Kikorian,KLQ,rum,3,-4
Mono-Alu,Austronesian,MTE,moa,3.52336,-7
Capanahua,Panoan,KAQ,cap,2.58771,-5
Pirahã,Mura,MYP,prh,2.17609,-9
Mundurukú,Tupian,MYU,muu,3.8451,-4
Kete,Niger-Congo,KCV,kte,3.92428,-8
Sundanese,Austronesian,SUO,sun,7.43136,-12
Javanese,Austronesian,JAN,jav,7.87799,-8
Boazi,Marind,KVG,boa,3.39794,0
Pawaian,Teberan-Pawaian,PWA,paw,3.60206,-4
Sisiqa,Austronesian,dBBQ,sis,3.72428,-13
Kami,Niger-Congo,KCU,kmi,4.21514,0
Fore,Trans-New Guinea,FOR,for,4.23045,-4
Aribwatsa,Austronesian,LAZ,ari,1.69897,0
Yaqay,Marind,JAQ,yqy,4,0
Musom,Austronesian,MSU,msm,2.30103,0
Jabêm,Austronesian,JAE,jab,3.3189,-3
Swahili,Niger-Congo,SWA,swa,5.88798,-7
Kaluli,Bosavi,BCO,kll,3.39794,0
Foe,Trans-New Guinea,FOI,foe,3.44716,0
Kewa,Trans-New Guinea,KJS/ KEW,kew,4.65321,-9
Burum,Trans-New Guinea,BMU,bmr,3.91661,0
Tamagario,Kayagar,TCG,tmg,3.54407,-10
Nabak,Trans-New Guinea,NAF,nab,4.20412,-3
Banoni,Austronesian,BCM,bnn,3,-4
Kaguru,Niger-Congo,KKI,kgr,5.33646,0
Golin,Trans-New Guinea,GVF,gln,4.70846,-6
Yagaria,Trans-New Guinea,YGR,ygr,4.32461,-2
Nasioi,East Bougainville,NAS,nas,4,-6
Salt-Yui,Trans-New Guinea,SLL,syu,3.81291,-5
Binumarien,Trans-New Guinea,BJR,bnm,2.5563,0
Hemba,Niger-Congo,HEM,hem,5.25758,0
Adzera,Austronesian,AZR,adz,4.31545,-10
Benabena,Trans-New Guinea,BEF,beb,4.65321,-6
Selepet,Trans-New Guinea,SEL,slp,3.8451,-6
Ono,Trans-New Guinea,ONS,ono,3.74036,-4
Kaulong,Austronesian,PSS,kau,3.60206,-4
Tabare,Trans-New Guinea,dSST,tba,4.69966,-5
Siane,Trans-New Guinea,SNP,sia,4.46207,-6
Dení,Arauan,DAN,den,2.87506,0
Paumarí,Arauan,PAD,pau,2.8451,-8
Canela-Krahô,Macro-Ge,RAM/ XRA,ckr,3.15229,-10
Kei,Austronesian,KEI,kei,4.92942,-6
Wahgi,Trans-New Guinea,WAK/WHG,wah,4.6721,-3
Rawa,Trans-New Guinea,RWO,rwa,4.0607,0
Kati (in West Papua Indonesia),Trans-New Guinea,dYON,kti,3.60206,0
Tauya,Trans-New Guinea,TYA,tau,2.54033,-4
Maleu,Austronesian,MGL,mlu,3.716,-4
Mangap-Mbula,Austronesian,MNA,mmb,3.39794,-4
Amara,Austronesian,AIE,ama,3.06819,0
Teop,Austronesian,TIO,teo,3.69897,-6
Kaliai-Kove,Austronesian,KHL/ KVC,kkv,3.8293,-3
Nakanai,Austronesian,NAK,nak,4.11394,-10
Kyaka,Trans-New Guinea,KYC,kyk,4.18662,-9
Taiof,Austronesian,SPS,taf,3.14613,-5
Apinayé,Macro-Ge,APN,api,2.90309,-4
Wolio,Austronesian,WLO,wlo,4.53818,-4
Tukang Besi,Austronesian,KHC/ BHQ,tuk,5.11394,-11
Asmat,Trans-New Guinea,TML/...,asm,2.4624,-5
Wambon,Trans-New Guinea,WMS,wbn,3.47712,-5
Duna,Trans-New Guinea,DUC,dun,4.04139,0
Bongu,Trans-New Guinea,BPU,bon,2.93146,-4
