"model","WAIC"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",3128.91
"Phylogenetic+Spatial: local+L1 speakers (linear)",3132.76
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",3135.03
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",3135.58
"Phylogenetic+Spatial: local+Vehicularity",3136.39
"Phylogenetic+Spatial: local+Neighbours",3153.06
"Phylogenetic+Spatial: local+Education",3156.96
"Phylogenetic+Spatial: local+Official",3157.39
