"model","WAIC"
"Phylogenetic+Spatial: local",101.88
"Spatial: local",145.43
"Spatial: regional",221.84
"Phylogenetic+Spatial: regional",222.05
"Areal",239.92
"Phylogenetic+Areal",241.93
"Phylogenetic",257.92
