"model","WAIC"
"Phylogenetic+Spatial: local",3152.71
"Phylogenetic",3201.82
"Phylogenetic+Areal",3224.01
"Phylogenetic+Spatial: regional",3225.33
"Spatial: local",3302.19
"Spatial: regional",3305.44
"Areal",3437.41
