"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.001...1",0.15,0.08,0,0.15,0.31,0.15,"L1 speakers (linear)"
"fitted.Predictor.002...2",0.17,0.1,-0.02,0.17,0.35,0.17,"L1 speakers (linear)"
"fitted.Predictor.003...3",0.17,0.1,-0.02,0.17,0.36,0.17,"L1 speakers (linear)"
"fitted.Predictor.004...4",0.15,0.08,0,0.15,0.3,0.15,"L1 speakers (linear)"
"fitted.Predictor.005...5",0.19,0.14,-0.1,0.19,0.47,0.19,"L1 speakers (linear)"
"fitted.Predictor.006...6",0.14,0.08,-0.01,0.14,0.3,0.14,"L1 speakers (linear)"
"fitted.Predictor.007...7",0.18,0.12,-0.05,0.18,0.4,0.18,"L1 speakers (linear)"
"fitted.Predictor.008...8",0.17,0.1,-0.02,0.17,0.36,0.17,"L1 speakers (linear)"
"fitted.Predictor.009...9",0.19,0.14,-0.09,0.19,0.46,0.19,"L1 speakers (linear)"
"fitted.Predictor.010...10",0.14,0.09,-0.03,0.14,0.31,0.14,"L1 speakers (linear)"
"fitted.Predictor.011...11",0.13,0.11,-0.08,0.13,0.34,0.13,"L1 speakers (linear)"
"fitted.Predictor.012...12",0.16,0.09,-0.01,0.16,0.33,0.16,"L1 speakers (linear)"
"fitted.Predictor.013...13",0.14,0.08,-0.02,0.14,0.3,0.14,"L1 speakers (linear)"
"fitted.Predictor.014...14",0.11,0.14,-0.16,0.11,0.39,0.11,"L1 speakers (linear)"
"fitted.Predictor.015...15",0.15,0.08,0,0.15,0.3,0.15,"L1 speakers (linear)"
"fitted.Predictor.016...16",0.19,0.14,-0.09,0.19,0.46,0.19,"L1 speakers (linear)"
"fitted.Predictor.017...17",0.17,0.11,-0.04,0.17,0.39,0.17,"L1 speakers (linear)"
"fitted.Predictor.018...18",0.16,0.09,-0.01,0.16,0.33,0.16,"L1 speakers (linear)"
"fitted.Predictor.019...19",0.17,0.09,-0.02,0.17,0.35,0.17,"L1 speakers (linear)"
"fitted.Predictor.020...20",0.18,0.12,-0.06,0.18,0.42,0.18,"L1 speakers (linear)"
"fitted.Predictor.021...21",0.16,0.08,0,0.16,0.32,0.16,"L1 speakers (linear)"
"fitted.Predictor.022...22",0.16,0.09,-0.01,0.16,0.33,0.16,"L1 speakers (linear)"
"fitted.Predictor.023...23",0.17,0.09,-0.01,0.17,0.35,0.17,"L1 speakers (linear)"
"fitted.Predictor.024...24",0.18,0.12,-0.05,0.18,0.4,0.18,"L1 speakers (linear)"
"fitted.Predictor.025...25",0.16,0.09,-0.01,0.16,0.34,0.16,"L1 speakers (linear)"
"fitted.Predictor.026...26",0.15,0.08,0,0.15,0.3,0.15,"L1 speakers (linear)"
"fitted.Predictor.027...27",0.15,0.08,0,0.15,0.31,0.15,"L1 speakers (linear)"
"fitted.Predictor.028...28",0.17,0.1,-0.03,0.17,0.37,0.17,"L1 speakers (linear)"
"fitted.Predictor.029...29",0.16,0.08,0,0.16,0.32,0.16,"L1 speakers (linear)"
"fitted.Predictor.030...30",0.19,0.17,-0.13,0.19,0.52,0.19,"L1 speakers (linear)"
"fitted.Predictor.031...31",0.16,0.09,-0.01,0.16,0.33,0.16,"L1 speakers (linear)"
"fitted.Predictor.032...32",0.14,0.09,-0.03,0.14,0.31,0.14,"L1 speakers (linear)"
"fitted.Predictor.033...33",0.17,0.11,-0.04,0.17,0.39,0.17,"L1 speakers (linear)"
"fitted.Predictor.034...34",0.16,0.08,0,0.16,0.31,0.16,"L1 speakers (linear)"
"fitted.Predictor.035...35",0.17,0.1,-0.03,0.17,0.36,0.17,"L1 speakers (linear)"
"fitted.Predictor.036...36",0.17,0.1,-0.02,0.17,0.35,0.17,"L1 speakers (linear)"
"fitted.Predictor.037...37",0.17,0.11,-0.04,0.17,0.38,0.17,"L1 speakers (linear)"
"fitted.Predictor.038...38",0.17,0.1,-0.03,0.17,0.38,0.17,"L1 speakers (linear)"
"fitted.Predictor.039...39",0.14,0.08,-0.01,0.14,0.3,0.14,"L1 speakers (linear)"
"fitted.Predictor.040...40",0.14,0.08,-0.01,0.14,0.3,0.14,"L1 speakers (linear)"
"fitted.Predictor.041...41",0.19,0.14,-0.1,0.19,0.47,0.19,"L1 speakers (linear)"
"fitted.Predictor.042...42",0.15,0.08,0,0.15,0.31,0.15,"L1 speakers (linear)"
"fitted.Predictor.043...43",0.16,0.09,-0.01,0.16,0.34,0.16,"L1 speakers (linear)"
"fitted.Predictor.044...44",0.16,0.09,-0.01,0.16,0.34,0.16,"L1 speakers (linear)"
