"model","WAIC"
"L1 speakers (linear)+Vehicularity",3642.42
"Official",3645.36
"Education",3646.32
"Vehicularity",3647.35
"L1_log10:Vehicularity",3648.47
"Neighbours",3649.32
"L1 speakers (nonlinear)",3652.78
"L1 speakers (linear)",3654.32
