"","model","x for sp_id","y for sp_id"
"1","Phylogenetic",NA,NA
"2","Spatial: local",1.18010230672113,0.000528107681117252
"3","Spatial: local",1.22506087055847,0.00458998305431175
"4","Spatial: local",1.27896930110973,0.0381693798747228
"5","Spatial: local",1.34759379828986,0.292167627763781
"6","Spatial: local",1.38192272097188,0.631178695355649
"7","Spatial: local",1.41203772736624,1.09605872164208
"8","Spatial: local",1.44752650272678,1.82840769822788
"9","Spatial: local",1.47212036294175,2.39963410735514
"10","Spatial: local",1.49183996856485,2.84886815197228
"11","Spatial: local",1.50881371960019,3.1991639889609
"12","Spatial: local",1.52427553312954,3.46887592223139
"13","Spatial: local",1.53889606955239,3.66694890702359
"14","Spatial: local",1.54596389220565,3.73987945826881
"15","Spatial: local",1.552903054947,3.79600369152707
"16","Spatial: local",1.55973534221704,3.83581619273854
"17","Spatial: local",1.56648062680328,3.85975540953733
"18","Spatial: local",1.56915852020038,3.86498059990374
"19","Spatial: local",1.57182653748026,3.86776143774205
"20","Spatial: local",1.57315717936149,3.86824409321032
"21","Spatial: local",1.57448575251867,3.86812636370179
"22","Spatial: local",1.5771372090424,3.86610430471727
"23","Spatial: local",1.57978192235299,3.86172468132873
"24","Spatial: local",1.58242404960233,3.85500797433549
"25","Spatial: local",1.58507928089229,3.84591951967292
"26","Spatial: local",1.58641286515075,3.84047772816063
"27","Spatial: local",1.5877506308527,3.83443402992724
"28","Spatial: local",1.59043933020392,3.82053048839222
"29","Spatial: local",1.59314665525251,3.80418833892637
"30","Spatial: local",1.60000528194874,3.75253377988914
"31","Spatial: local",1.60701097021628,3.68521687538442
"32","Spatial: local",1.61418842222547,3.60198313780998
"33","Spatial: local",1.62156532837052,3.5027001644412
"34","Spatial: local",1.6370470501819,3.25585803339023
"35","Spatial: local",1.65376395430436,2.94511970977957
"36","Spatial: local",1.67241574031855,2.56718518625989
"37","Spatial: local",1.69456672610348,2.10872048386958
"38","Spatial: local",1.72302346289399,1.55578303523475
"39","Spatial: local",1.76586790212553,0.887890441395691
"40","Spatial: local",1.80377763855626,0.49068369901844
"41","Spatial: local",1.8491938507786,0.215776822448842
"42","Spatial: local",1.94698469103264,0.025398014229537
"43","Spatial: local",2.03136160796444,0.00280319147284352
"44","Spatial: local",2.10751729072372,0.000299726498531038
"45","Spatial: regional",0.457546394176176,0.000549748629096712
"46","Spatial: regional",0.501867459417068,0.00451898327699741
"47","Spatial: regional",0.55830007831596,0.0352755796578239
"48","Spatial: regional",0.635437356701402,0.250066309646882
"49","Spatial: regional",0.676368222197342,0.521024983819857
"50","Spatial: regional",0.713431803605922,0.875261902126934
"51","Spatial: regional",0.758795510419565,1.40702756300233
"52","Spatial: regional",0.791190394611368,1.79921224214734
"53","Spatial: regional",0.81775787091619,2.09199764235137
"54","Spatial: regional",0.84109422498251,2.30780542093851
"55","Spatial: regional",0.862791766003995,2.46243714460236
"56","Spatial: regional",0.883594856336387,2.56296649518926
"57","Spatial: regional",0.893755163720026,2.59419951422651
"58","Spatial: regional",0.903798240584261,2.61343441476137
"59","Spatial: regional",0.913753550579936,2.62120372598163
"60","Spatial: regional",0.923648545405121,2.61807349164534
"61","Spatial: regional",0.927595490528743,2.61389612776492
"62","Spatial: regional",0.931538528442325,2.60810065879411
"63","Spatial: regional",0.933509072195515,2.60460715901281
"64","Spatial: regional",0.935479223768393,2.60072232535483
"65","Spatial: regional",0.939419114890487,2.59179607965053
"66","Spatial: regional",0.943360907406229,2.58135322109173
"67","Spatial: regional",0.947326810444448,2.56936041436314
"68","Spatial: regional",0.951326125272763,2.55580028917927
"69","Spatial: regional",0.953338907487856,2.54843295675824
"70","Spatial: regional",0.955360767564226,2.54067444013482
"71","Spatial: regional",0.959432738128683,2.52398507273475
"72","Spatial: regional",0.963544128056207,2.50573501856562
"73","Spatial: regional",0.974009668939677,2.45330638938276
"74","Spatial: regional",0.984772648944732,2.39122071731431
"75","Spatial: regional",0.995874937018033,2.31956867619844
"76","Spatial: regional",1.00736405854256,2.23844367180499
"77","Spatial: regional",1.03172802018846,2.04839028839212
"78","Spatial: regional",1.0584051982947,1.82312227933557
"79","Spatial: regional",1.08878619664507,1.56075560932475
"80","Spatial: regional",1.12562308275826,1.25509747044782
"81","Spatial: regional",1.17405554252593,0.901740540361952
"82","Spatial: regional",1.24924620794318,0.495589414458665
"83","Spatial: regional",1.31839375795895,0.264731946804026
"84","Spatial: regional",1.40398582407277,0.112186490584177
"85","Spatial: regional",1.5999074367053,0.0122056582113669
"86","Spatial: regional",1.78169253149999,0.00126237467009384
"87","Spatial: regional",1.95617111337442,0.000127447411763932
"88","Areal",NA,NA
"89","Phylogenetic+Spatial: local",3.85618226692962,5.8646092414479e-05
"90","Phylogenetic+Spatial: local",4.27302345070375,0.000474522565795337
"91","Phylogenetic+Spatial: local",4.81116734844822,0.00365370879937618
"92","Phylogenetic+Spatial: local",5.55983215001557,0.0255479140079729
"93","Phylogenetic+Spatial: local",5.9634658081715,0.0528775645716793
"94","Phylogenetic+Spatial: local",6.33000503394726,0.0879294831473621
"95","Phylogenetic+Spatial: local",6.78727330667226,0.140084715940086
"96","Phylogenetic+Spatial: local",7.11427014668437,0.177310403904135
"97","Phylogenetic+Spatial: local",7.38520923709347,0.204386222141053
"98","Phylogenetic+Spatial: local",7.62736167832888,0.223760387729232
"99","Phylogenetic+Spatial: local",7.85511554415531,0.236802821866564
"100","Phylogenetic+Spatial: local",8.07371702963652,0.244163392632238
"101","Phylogenetic+Spatial: local",8.18075537546965,0.245862732616623
