"","model","sp_id","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"1","Phylogenetic",NA,NA,NA,NA,NA,NA,NA,NA
"2","Spatial: local",1,0.55,0.24,0.06,0.56,1,0.57,0
"3","Spatial: local",2,0.07,0.3,-0.53,0.07,0.66,0.07,0
"4","Spatial: local",3,-0.72,0.3,-1.3,-0.73,-0.1,-0.74,0
"5","Spatial: local",4,-0.98,0.31,-1.56,-0.99,-0.34,-1.01,0
"6","Spatial: local",5,-1.56,0.32,-2.15,-1.58,-0.87,-1.61,0
"7","Spatial: local",6,-0.49,0.3,-1.07,-0.49,0.12,-0.5,0
"8","Spatial: local",7,-0.35,0.3,-0.93,-0.35,0.26,-0.36,0
"9","Spatial: local",8,-0.6,0.3,-1.18,-0.61,0.01,-0.62,0
"10","Spatial: local",9,-0.09,0.3,-0.68,-0.1,0.5,-0.1,0
"11","Spatial: local",10,-1.68,0.33,-2.28,-1.7,-0.98,-1.74,0
"12","Spatial: local",11,0.1,0.3,-0.5,0.1,0.69,0.1,0
"13","Spatial: local",12,-0.18,0.3,-0.77,-0.18,0.41,-0.19,0
"14","Spatial: local",13,-0.6,0.3,-1.18,-0.61,0.01,-0.62,0
"15","Spatial: local",14,0.15,0.3,-0.44,0.15,0.74,0.15,0
"16","Spatial: local",15,0.85,0.3,0.22,0.86,1.43,0.88,0
"17","Spatial: local",16,0.39,0.18,0.03,0.39,0.72,0.4,0
"18","Spatial: local",17,0.39,0.18,0.03,0.39,0.73,0.39,0
"19","Spatial: local",18,-0.39,0.22,-0.82,-0.4,0.06,-0.41,0
"20","Spatial: local",19,-0.27,0.15,-0.56,-0.27,0.03,-0.27,0
"21","Spatial: local",20,-0.59,0.2,-0.96,-0.59,-0.18,-0.6,0
"22","Spatial: local",21,-0.5,0.18,-0.84,-0.5,-0.13,-0.51,0
"23","Spatial: local",22,-0.06,0.2,-0.46,-0.06,0.34,-0.07,0
"24","Spatial: local",23,-0.13,0.18,-0.48,-0.13,0.22,-0.13,0
"25","Spatial: local",24,0.13,0.19,-0.25,0.13,0.49,0.14,0
"26","Spatial: local",25,0.15,0.18,-0.21,0.15,0.49,0.15,0
"27","Spatial: local",26,0.41,0.17,0.06,0.41,0.73,0.42,0
"28","Spatial: local",27,0.19,0.17,-0.15,0.19,0.51,0.2,0
"29","Spatial: local",28,0.27,0.18,-0.08,0.27,0.61,0.27,0
