"","model","x for AUTOTYP_area","y for AUTOTYP_area"
"1","Phylogenetic",NA,NA
"2","Spatial: local",NA,NA
"3","Spatial: regional",NA,NA
"4","Areal",0.617639154769483,0.000101310283859905
"5","Areal",0.89190739370013,0.000638599989073448
"6","Areal",1.36244345536055,0.00363976238111108
"7","Areal",2.28549605067355,0.0174906025066183
"8","Areal",2.93051201892951,0.0299288981689189
"9","Areal",3.63898774453223,0.042598222155905
"10","Areal",4.68396858262485,0.0561652528328845
"11","Areal",5.55656306021682,0.0623598586531389
"12","Areal",6.37985059642346,0.064640893396149
"13","Areal",7.19971249143666,0.0643618349156625
"14","Areal",8.03622745369185,0.062289973330018
"15","Areal",8.90504450009404,0.0588962478424771
"16","Areal",9.35637997576733,0.0568280124313654
"17","Areal",9.821707539159,0.054590597640295
"18","Areal",10.3032334452061,0.0522323931569388
"19","Areal",10.8066732629006,0.0497772881848651
"20","Areal",11.0159849420359,0.0487701571000192
"21","Areal",11.2300762519051,0.0477520493017211
"22","Areal",11.338968080337,0.0472395527935354
"23","Areal",11.4491207397553,0.0467251098703496
"24","Areal",11.6733028956866,0.0456913985395073
"25","Areal",11.9028186842108,0.044652888842005
"26","Areal",12.1378761414179,0.0436114678228524
"27","Areal",12.3786960396466,0.0425689362459886
"28","Areal",12.5013395573808,0.0420477932933704
"29","Areal",12.625512622144,0.0415269809782036
"30","Areal",12.8785744107165,0.0404865028339373
"31","Areal",13.1381450898163,0.0394476424942098
"32","Areal",13.817426991926,0.0368584736553048
"33","Areal",14.5440509150531,0.0342830162054368
"34","Areal",15.323674615745,0.0317282852924201
"35","Areal",16.1628896575756,0.0292076317977489
"36","Areal",18.0578174806951,0.0242973567221418
"37","Areal",20.4016266029806,0.0194736163514419
"38","Areal",23.442831349412,0.0147789897495591
"39","Areal",27.611540902189,0.010336640640339
"40","Areal",33.9040897407483,0.00628022121116234
"41","Areal",46.1576983426804,0.00267586864713515
"42","Areal",60.4342571888686,0.00114636879856541
"43","Areal",82.7674600470636,0.000377795919802899
"44","Areal",160.09507916227,2.41160062853041e-05
"45","Areal",275.982047560022,1.61644713237228e-06
"46","Areal",443.261117804692,1.1205329109595e-07
"47","Phylogenetic+Spatial: local",NA,NA
"48","Phylogenetic+Spatial: regional",NA,NA
"49","Phylogenetic+Areal",0.526223727369783,0.000118284993712982
"50","Phylogenetic+Areal",0.760528364444967,0.000745076710239098
"51","Phylogenetic+Areal",1.16360493472512,0.00425081428824394
"52","Phylogenetic+Areal",1.9554125265578,0.020394018253378
"53","Phylogenetic+Areal",2.50847540567725,0.0348179401538511
"54","Phylogenetic+Areal",3.11975437159887,0.0495319414765037
"55","Phylogenetic+Areal",4.01929027855483,0.0651244968397517
"56","Phylogenetic+Areal",4.77342170914175,0.0721611247776422
"57","Phylogenetic+Areal",5.48809700951526,0.074644689957017
"58","Phylogenetic+Areal",6.20061019005084,0.0741432499460972
"59","Phylogenetic+Areal",6.9282790161746,0.0715677221838921
"60","Phylogenetic+Areal",7.68540959327588,0.0674598563932884
"61","Phylogenetic+Areal",8.07942535943265,0.0649883047960013
"62","Phylogenetic+Areal",8.4862265427203,0.0623322275498507
"63","Phylogenetic+Areal",8.90793414792968,0.0595472889818786
"64","Phylogenetic+Areal",9.35093084971984,0.0566527997787912
"65","Phylogenetic+Areal",9.53521177936265,0.055469962023126
"66","Phylogenetic+Areal",9.72375353445867,0.0542768587501445
"67","Phylogenetic+Areal",9.81967035952226,0.0536772568305473
"68","Phylogenetic+Areal",9.91671135972719,0.0530760336136612
"69","Phylogenetic+Areal",10.1142502621144,0.0518699175882481
"70","Phylogenetic+Areal",10.3165454898034,0.0506608286417489
"71","Phylogenetic+Areal",10.5237830693959,0.0494509721001477
"72","Phylogenetic+Areal",10.7361604029966,0.0482424413831642
"73","Phylogenetic+Areal",10.8443414371124,0.0476392324394656
"74","Phylogenetic+Areal",10.9538869274419,0.0470368119087034
"75","Phylogenetic+Areal",11.177184838359,0.0458343519272867
"76","Phylogenetic+Areal",11.40628988212,0.0446351121553897
"77","Phylogenetic+Areal",12.0061384035573,0.0416517196152606
"78","Phylogenetic+Areal",12.6482369459465,0.038691421357508
"79","Phylogenetic+Areal",13.3376433874979,0.0357641078377187
"80","Phylogenetic+Areal",14.0802498943738,0.0328843008900109
"81","Phylogenetic+Areal",15.7627426224624,0.0272846802569848
"82","Phylogenetic+Areal",17.8562967521886,0.0217919699474237
"83","Phylogenetic+Areal",20.5807056376966,0.0164752857774654
"84","Phylogenetic+Areal",24.3221765232718,0.0114793397382321
"85","Phylogenetic+Areal",29.9962469797404,0.00694150006007651
"86","Phylogenetic+Areal",41.1320201831073,0.00293365730733502
"87","Phylogenetic+Areal",54.1753914090949,0.00124968546976819
"88","Phylogenetic+Areal",74.7730734980309,0.000408187796641057
"89","Phylogenetic+Areal",146.881138954204,2.56770130903519e-05
"90","Phylogenetic+Areal",256.554523209291,1.69907526177821e-06
"91","Phylogenetic+Areal",416.878375182949,1.16404964781203e-07
