"model","WAIC"
"Phylogenetic+Spatial: local",282.57
"Spatial: local",289.16
"Phylogenetic+Spatial: regional",289.75
"Areal",291.11
"Phylogenetic+Areal",291.33
"Spatial: regional",292.45
"Phylogenetic",297.09
