"","model","WAIC","prior","response"
"1","Phylogenetic+Spatial: local+L1 speakers (linear)",1796.34,"0.1","fusion"
"2","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1797.2,"0.1","fusion"
"3","Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",1798.71,"0.1","fusion"
"4","Phylogenetic+Spatial: local+L1_log10:Vehicularity",1814.65,"0.1","fusion"
"5","Phylogenetic+Spatial: local+Vehicularity",1814.82,"0.1","fusion"
"6","Phylogenetic+Spatial: local+Neighbours",1818.78,"0.1","fusion"
"7","Phylogenetic+Spatial: local+Official",1820.45,"0.1","fusion"
"8","Phylogenetic+Spatial: local+Education",1821.36,"0.1","fusion"
"9","Phylogenetic+Spatial: local+L1 speakers (linear)",1804.23,"0.01","fusion"
"10","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1804.98,"0.01","fusion"
"11","Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",1806.76,"0.01","fusion"
"12","Phylogenetic+Spatial: local+L1_log10:Vehicularity",1822.47,"0.01","fusion"
"13","Phylogenetic+Spatial: local+Vehicularity",1822.64,"0.01","fusion"
"14","Phylogenetic+Spatial: local+Neighbours",1826.06,"0.01","fusion"
"15","Phylogenetic+Spatial: local+Official",1827.5,"0.01","fusion"
"16","Phylogenetic+Spatial: local+Education",1828.97,"0.01","fusion"
"17","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1789.3,"0.5","fusion"
"18","Phylogenetic+Spatial: local+L1 speakers (linear)",1790.71,"0.5","fusion"
"19","Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",1792.96,"0.5","fusion"
"20","Phylogenetic+Spatial: local+L1_log10:Vehicularity",1809.09,"0.5","fusion"
"21","Phylogenetic+Spatial: local+Vehicularity",1809.27,"0.5","fusion"
"22","Phylogenetic+Spatial: local+Neighbours",1813.1,"0.5","fusion"
"23","Phylogenetic+Spatial: local+Official",1815.02,"0.5","fusion"
"24","Phylogenetic+Spatial: local+Education",1815.94,"0.5","fusion"
"25","Phylogenetic+Spatial: local+L1 speakers (linear)",1788.29,"0.99","fusion"
"26","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1789.44,"0.99","fusion"
"27","Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",1790.5,"0.99","fusion"
"28","Phylogenetic+Spatial: local+L1_log10:Vehicularity",1806.72,"0.99","fusion"
"29","Phylogenetic+Spatial: local+Vehicularity",1806.9,"0.99","fusion"
"30","Phylogenetic+Spatial: local+Neighbours",1810.73,"0.99","fusion"
"31","Phylogenetic+Spatial: local+Official",1812.7,"0.99","fusion"
"32","Phylogenetic+Spatial: local+Education",1813.63,"0.99","fusion"
"33","Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",3128.91,"0.1","informativity"
"34","Phylogenetic+Spatial: local+L1 speakers (linear)",3132.76,"0.1","informativity"
"35","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",3135.03,"0.1","informativity"
"36","Phylogenetic+Spatial: local+L1_log10:Vehicularity",3135.58,"0.1","informativity"
"37","Phylogenetic+Spatial: local+Vehicularity",3136.39,"0.1","informativity"
"38","Phylogenetic+Spatial: local+Neighbours",3153.06,"0.1","informativity"
"39","Phylogenetic+Spatial: local+Education",3156.96,"0.1","informativity"
"40","Phylogenetic+Spatial: local+Official",3157.39,"0.1","informativity"
"41","Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",3137.77,"0.01","informativity"
"42","Phylogenetic+Spatial: local+L1 speakers (linear)",3140.58,"0.01","informativity"
"43","Phylogenetic+Spatial: local+L1_log10:Vehicularity",3143.16,"0.01","informativity"
"44","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",3143.42,"0.01","informativity"
"45","Phylogenetic+Spatial: local+Vehicularity",3144.23,"0.01","informativity"
"46","Phylogenetic+Spatial: local+Neighbours",3160.68,"0.01","informativity"
"47","Phylogenetic+Spatial: local+Education",3164.6,"0.01","informativity"
"48","Phylogenetic+Spatial: local+Official",3165.34,"0.01","informativity"
"49","Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",3124.09,"0.5","informativity"
"50","Phylogenetic+Spatial: local+L1 speakers (linear)",3127.38,"0.5","informativity"
"51","Phylogenetic+Spatial: local+L1_log10:Vehicularity",3130.25,"0.5","informativity"
"52","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",3130.36,"0.5","informativity"
"53","Phylogenetic+Spatial: local+Vehicularity",3131.01,"0.5","informativity"
"54","Phylogenetic+Spatial: local+Neighbours",3146.25,"0.5","informativity"
"55","Phylogenetic+Spatial: local+Education",3150.27,"0.5","informativity"
"56","Phylogenetic+Spatial: local+Official",3150.94,"0.5","informativity"
"57","Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",3120.98,"0.99","informativity"
"58","Phylogenetic+Spatial: local+L1 speakers (linear)",3125.07,"0.99","informativity"
"59","Phylogenetic+Spatial: local+L1_log10:Vehicularity",3127.34,"0.99","informativity"
"60","Phylogenetic+Spatial: local+Vehicularity",3128.16,"0.99","informativity"
"61","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",3128.37,"0.99","informativity"
"62","Phylogenetic+Spatial: local+Neighbours",3144.52,"0.99","informativity"
"63","Phylogenetic+Spatial: local+Education",3147.45,"0.99","informativity"
"64","Phylogenetic+Spatial: local+Official",3148.42,"0.99","informativity"
