"model","WAIC"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",283.05
"Phylogenetic+Spatial: local+L2 proportion (linear)",283.15
"Phylogenetic+Spatial: local+L1 speakers (linear)",284.2
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",284.44
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",284.81
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",285.08
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",285.98
