"","model","x for AUTOTYP_area","y for AUTOTYP_area"
"1","Phylogenetic",NA,NA
"2","Spatial: local",NA,NA
"3","Spatial: regional",NA,NA
"4","Areal",0.445875646009046,0.000184267241480063
"5","Areal",0.589295262266277,0.00125557613696126
"6","Areal",0.812917036043665,0.0079169819170471
"7","Areal",1.20132649988018,0.0433252852003194
"8","Areal",1.44891257008868,0.0794930977541344
"9","Areal",1.7012767717376,0.120075595530637
"10","Areal",2.04782612710801,0.170855970304085
"11","Areal",2.32078106927806,0.201143258145883
"12","Areal",2.56270030217145,0.219315284607865
"13","Areal",2.78981221062169,0.229171666346224
"14","Areal",3.01143679532956,0.232825960989202
"15","Areal",3.23156139741692,0.231577878329348
"16","Areal",3.34271082521949,0.229415093511368
"17","Areal",3.45504493817621,0.226357603591422
"18","Areal",3.56903530169952,0.222487867195935
"19","Areal",3.68559119932285,0.217852144841436
"20","Areal",3.73299687197634,0.215795608761063
"21","Areal",3.78087150341935,0.213629061030377
"22","Areal",3.80498929504708,0.212505704563473
"23","Areal",3.82922991622331,0.211356255537139
"24","Areal",3.87808732662633,0.208980979852685
"25","Areal",3.92745931679108,0.206507054928832
"26","Areal",3.97736714071925,0.20393805734918
"27","Areal",4.02795028522074,0.201271287272149
"28","Areal",4.0535220600416,0.199901156580776
"29","Areal",4.07928539643751,0.198506989943475
"30","Areal",4.1314015185408,0.195647956190699
"31","Areal",4.18432901403277,0.19269704211261
"32","Areal",4.32040926591725,0.184937154140298
"33","Areal",4.46229860603037,0.176669272885857
"34","Areal",4.61093045876898,0.167925697535274
"35","Areal",4.76795427706175,0.158711689382559
"36","Areal",5.11252013457741,0.139043880564882
"37","Areal",5.5126859607852,0.117868329164818
"38","Areal",5.99372012316406,0.0954848628576158
"39","Areal",6.60610991587151,0.0721045740289815
"40","Areal",7.46902109792998,0.0478705995782951
"41","Areal",8.9524817510356,0.0233724402210366
"42","Areal",10.473885919866,0.0112685881520295
"43","Areal",12.5777769421123,0.00423788441941107
"44","Areal",18.3902347803353,0.000359725104285901
"45","Areal",25.1585181340366,3.01710881531665e-05
"46","Areal",33.0121823918358,2.54338471627884e-06
"47","Phylogenetic+Spatial: local",NA,NA
"48","Phylogenetic+Spatial: regional",NA,NA
"49","Phylogenetic+Areal",0.412183171276351,0.000182614788520091
"50","Phylogenetic+Areal",0.558083176232145,0.00121931612963139
"51","Phylogenetic+Areal",0.791579895617072,0.00749327137842896
"52","Phylogenetic+Areal",1.20914763281222,0.0395435241065337
"53","Phylogenetic+Areal",1.48285079874748,0.0714125086088064
"54","Phylogenetic+Areal",1.76625251783564,0.106309900876568
"55","Phylogenetic+Areal",2.16128462202312,0.148532584997146
"56","Phylogenetic+Areal",2.4778789955846,0.172671213046049
"57","Phylogenetic+Areal",2.76126890206908,0.186261876134313
"58","Phylogenetic+Areal",3.03054007083563,0.192774910949168
"59","Phylogenetic+Areal",3.29545808433482,0.1940588758163
"60","Phylogenetic+Areal",3.56111727874697,0.191289341850758
"61","Phylogenetic+Areal",3.69608212086368,0.18864941785744
"62","Phylogenetic+Areal",3.83302979010575,0.185285061154008
"63","Phylogenetic+Areal",3.97294949633443,0.181253857615704
"64","Phylogenetic+Areal",4.11655662231024,0.176612706727348
"65","Phylogenetic+Areal",4.17510508865112,0.174600131456695
"66","Phylogenetic+Areal",4.23431866342347,0.17250450355688
"67","Phylogenetic+Areal",4.26418210283898,0.171426807334317
"68","Phylogenetic+Areal",4.29422059666442,0.170329856517642
"69","Phylogenetic+Areal",4.3548348876389,0.168080172892261
"70","Phylogenetic+Areal",4.41620437899714,0.165758694846286
"71","Phylogenetic+Areal",4.47851769504315,0.16336295816494
"72","Phylogenetic+Areal",4.54184585235698,0.16089478719361
"73","Phylogenetic+Areal",4.5739013812952,0.15963455607904
"74","Phylogenetic+Areal",4.60622388552987,0.158357440149897
"75","Phylogenetic+Areal",4.67168846666067,0.155754199859359
"76","Phylogenetic+Areal",4.73827794505866,0.153088373795896
"77","Phylogenetic+Areal",4.9099403296389,0.146171931107148
"78","Phylogenetic+Areal",5.08959678730201,0.138936686769586
"79","Phylogenetic+Areal",5.27910108412556,0.131391536229954
"80","Phylogenetic+Areal",5.48026342791514,0.123553627948173
"81","Phylogenetic+Areal",5.92478599809555,0.107135666826106
"82","Phylogenetic+Areal",6.44692668505624,0.0898272624739393
"83","Phylogenetic+Areal",7.08090505467082,0.0719253198645235
"84","Phylogenetic+Areal",7.89962045734859,0.0535725164137588
"85","Phylogenetic+Areal",9.06966490699423,0.0349815384628579
"86","Phylogenetic+Areal",11.1263974440044,0.0166579141324957
"87","Phylogenetic+Areal",13.2812415197232,0.007869116832336
"88","Phylogenetic+Areal",16.330645960381,0.00289022943891165
"89","Phylogenetic+Areal",25.1054620536636,0.000232762543769089
"90","Phylogenetic+Areal",35.7910561716755,1.87396195066479e-05
"91","Phylogenetic+Areal",48.6711539897175,1.52716053466747e-06
