"","model","response","effect","2.5%","50%","97.5%","WAIC","sample"
"251","L1 speakers (nonlinear)","informativity","Intercept",0,0.16,0.32,297.9,"L2"
"252","L1 speakers (nonlinear)","informativity","social SD:
L1",0,0.01,0.03,297.9,"L2"
"253","L1 speakers (linear)","informativity","Intercept",0,0.15,0.3,298.14,"L2"
"254","L1 speakers (linear)","informativity","L1",-0.21,-0.03,0.15,298.14,"L2"
"255","L1 speakers (linear)+L2 proportion (linear)","informativity","Intercept",-0.12,0.08,0.28,299.04,"L2"
"256","L1 speakers (linear)+L2 proportion (linear)","informativity","L1",-0.22,-0.03,0.15,299.04,"L2"
"257","L1 speakers (linear)+L2 proportion (linear)","informativity","L2 proportion",-0.32,0.33,0.97,299.04,"L2"
"258","L1 speakers (nonlinear)+L2 proportion (nonlinear)","informativity","Intercept",0.01,0.24,0.46,299.05,"L2"
"259","L1 speakers (nonlinear)+L2 proportion (nonlinear)","informativity","social SD:
L1",0,0.01,0.03,299.05,"L2"
"260","L1 speakers (nonlinear)+L2 proportion (nonlinear)","informativity","social SD:
L2 proportion",0,0.01,0.03,299.05,"L2"
