"","model","response","effect","2.5%","50%","97.5%","WAIC","sample"
"60","Vehicularity","fusion","Vehicularity",0.11,0.29,0.46,3637.69,"entire"
"61","L1 speakers (linear)+Vehicularity","fusion","Intercept",-0.09,-0.03,0.03,3639.72,"entire"
"62","L1 speakers (linear)+Vehicularity","fusion","L1",-0.07,0,0.06,3639.72,"entire"
"63","L1 speakers (linear)+Vehicularity","fusion","Vehicularity",0.09,0.29,0.49,3639.72,"entire"
"64","L1 speakers (linear)","fusion","Intercept",-0.05,0,0.05,3646.12,"entire"
"65","L1 speakers (linear)","fusion","L1",-0.02,0.04,0.1,3646.12,"entire"
"66","Neighbours","fusion","Intercept",-0.05,0,0.06,3648.08,"entire"
"67","Neighbours","fusion","Neighbours",-0.06,-0.01,0.03,3648.08,"entire"
"68","Phylogenetic+Spatial: local","informativity","phylogenetic SD",0.88,1.19,1.56,3152.71,"entire"
"69","Phylogenetic+Spatial: local","informativity","spatial SD",0.36,0.45,0.54,3152.71,"entire"
"70","Phylogenetic+Spatial: local","informativity","Intercept",-0.01,0.03,0.07,3152.71,"entire"
"71","Phylogenetic","informativity","phylogenetic SD",1.48,1.78,2.12,3201.82,"entire"
"72","Phylogenetic","informativity","Intercept",-0.01,0.03,0.07,3201.82,"entire"
"73","Phylogenetic+Areal","informativity","phylogenetic SD",1.29,1.63,2.01,3224.01,"entire"
"74","Phylogenetic+Areal","informativity","areal SD",0.05,0.14,0.29,3224.01,"entire"
"75","Phylogenetic+Areal","informativity","Intercept",-0.04,0.05,0.16,3224.01,"entire"
"76","Phylogenetic+Spatial: regional","informativity","phylogenetic SD",0.6,0.9,1.38,3225.33,"entire"
"77","Phylogenetic+Spatial: regional","informativity","spatial SD",0.49,0.65,0.85,3225.33,"entire"
"78","Phylogenetic+Spatial: regional","informativity","Intercept",-0.01,0.03,0.08,3225.33,"entire"
"79","Spatial: local","informativity","spatial SD",0.58,0.65,0.72,3302.19,"entire"
"80","Spatial: local","informativity","Intercept",-0.01,0.03,0.07,3302.19,"entire"
"81","Spatial: regional","informativity","spatial SD",0.55,0.71,0.89,3305.44,"entire"
"82","Spatial: regional","informativity","Intercept",-0.01,0.03,0.08,3305.44,"entire"
"83","Areal","informativity","areal SD",0.31,0.42,0.59,3437.41,"entire"
"84","Areal","informativity","Intercept",0,0.18,0.37,3437.41,"entire"
"85","Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity","informativity","phylogenetic SD",0.92,1.24,1.6,3128.92,"entire"
"86","Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity","informativity","spatial SD",0.36,0.44,0.53,3128.92,"entire"
"87","Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity","informativity","Intercept",-0.04,0,0.04,3128.92,"entire"
"88","Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity","informativity","L1",-0.02,0.05,0.13,3128.92,"entire"
"89","Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity","informativity","Vehicularity",0.12,0.31,0.49,3128.92,"entire"
"90","Phylogenetic+Spatial: local+L1 speakers (linear)","informativity","phylogenetic SD",0.97,1.28,1.66,3132.73,"entire"
"91","Phylogenetic+Spatial: local+L1 speakers (linear)","informativity","spatial SD",0.35,0.43,0.53,3132.73,"entire"
"92","Phylogenetic+Spatial: local+L1 speakers (linear)","informativity","Intercept",-0.01,0.03,0.07,3132.73,"entire"
"93","Phylogenetic+Spatial: local+L1 speakers (linear)","informativity","L1",0.03,0.1,0.17,3132.73,"entire"
"94","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","informativity","phylogenetic SD",0.97,1.29,1.65,3134.4,"entire"
"95","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","informativity","spatial SD",0.35,0.43,0.54,3134.4,"entire"
"96","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","informativity","Intercept",0,0.04,0.08,3134.4,"entire"
