"","model","x for sp_id","y for sp_id"
"69","Spatial: regional",1.23156516521271,0.818124511708247
"70","Spatial: regional",1.23785295085857,0.812261881441593
"71","Spatial: regional",1.25054870209397,0.800317840082986
"72","Spatial: regional",1.26340781959801,0.788104495573229
"73","Spatial: regional",1.29646573362917,0.756345211750978
"74","Spatial: regional",1.33103671010779,0.722778370987709
"75","Spatial: regional",1.36728380743759,0.687453336849979
"76","Spatial: regional",1.40540553395387,0.650484317375057
"77","Spatial: regional",1.48916942418674,0.571548913375409
"78","Spatial: regional",1.5856601424242,0.486936549189658
"79","Spatial: regional",1.70121002182626,0.397018488885778
"80","Spatial: regional",1.84786378570702,0.302076164003442
"81","Spatial: regional",2.05096829609942,0.20330386717448
"82","Spatial: regional",2.39680784373039,0.101122664413332
"83","Spatial: regional",2.74535283450627,0.0495832082936938
"84","Spatial: regional",3.21574149738328,0.0191285828399849
"85","Spatial: regional",4.47798779344874,0.00170004190177774
"86","Spatial: regional",5.88659608666673,0.000148983820502722
"87","Spatial: regional",7.46778501991815,1.3010932378417e-05
"88","Areal",NA,NA
"89","Phylogenetic+Spatial: local",0.75079142763099,0.00028624562515503
"90","Phylogenetic+Spatial: local",0.83512091591814,0.00231998301229259
"91","Phylogenetic+Spatial: local",0.944213486881021,0.0178691997353372
"92","Phylogenetic+Spatial: local",1.09583214821485,0.124540785522634
"93","Phylogenetic+Spatial: local",1.17700469715517,0.256776686871353
"94","Phylogenetic+Spatial: local",1.25126798370134,0.428591301776992
"95","Phylogenetic+Spatial: local",1.34281192384368,0.684534560896514
"96","Phylogenetic+Spatial: local",1.40831331369128,0.87145325166724
"97","Phylogenetic+Spatial: local",1.46244164858604,1.01111451332817
"98","Phylogenetic+Spatial: local",1.51040391247447,1.11448666792581
"99","Phylogenetic+Spatial: local",1.55490233972259,1.18822390707978
"100","Phylogenetic+Spatial: local",1.59708790371858,1.23588127159586
"101","Phylogenetic+Spatial: local",1.61770061880486,1.25094190893462
"102","Phylogenetic+Spatial: local",1.63809828817148,1.26055212485785
"103","Phylogenetic+Spatial: local",1.65835911774117,1.2649998768231
"104","Phylogenetic+Spatial: local",1.67865345065445,1.26447749563103
"105","Phylogenetic+Spatial: local",1.68679326627425,1.26288961536929
"106","Phylogenetic+Spatial: local",1.69494829235769,1.26051983364433
"107","Phylogenetic+Spatial: local",1.69903205310929,1.25904330299417
"108","Phylogenetic+Spatial: local",1.70312026925988,1.25737328374185
"109","Phylogenetic+Spatial: local",1.7113109371621,1.25345588973748
"110","Phylogenetic+Spatial: local",1.7195220290447,1.24877436851192
"111","Phylogenetic+Spatial: local",1.72775526342506,1.24333623666085
"112","Phylogenetic+Spatial: local",1.73601973222878,1.23714395741517
"113","Phylogenetic+Spatial: local",1.74017208440278,1.23376064766733
"114","Phylogenetic+Spatial: local",1.74433881188617,1.23018568690799
