"model","WAIC"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",100.78
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",102.13
"Phylogenetic+Spatial: local+L1 speakers (linear)",102.22
"Phylogenetic+Spatial: local+L2 proportion (linear)",103.26
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",103.46
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",103.68
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",103.86
